       MD      Carbon(%)    ASH(%)       H2O(%)       BUMO(Gpa)    SHMO(Gpa)    STRN(Gpa)    POIS         VELP(KM/S)   VELS(KM/S)   LLV(mV)
   117.6       900000       900000       900000      12.7245       5.0727      19.4881       0.3241        2.809       1.4331          872
  117.65       900000       900000       900000      12.5749       4.9793       19.214       0.3251       2.7933        1.422          878
   117.7       900000       900000       900000      12.4203       4.8529      18.8909       0.3271       2.7778       1.4079          883
  117.75       900000       900000       900000      12.3409       4.7777      18.7111       0.3286       2.7701       1.3998          881
   117.8       900000       900000       900000      12.2727       4.7506      18.6068       0.3286       2.7624       1.3958          872
  117.85       900000       900000       900000      12.3442       4.7926      18.7344       0.3281       2.7701       1.4011          858
   117.9       900000       900000       900000      12.5547       4.8857      19.0689       0.3278       2.7933       1.4139          847
  117.95       900000       900000       900000      12.7756       5.0042      19.4479       0.3268       2.8169       1.4289          845
     118       900000       900000       900000      12.9925       5.0819      19.7685        0.327       2.8409       1.4404          844
  118.05       900000       900000       900000      13.1369       5.1194      19.9627       0.3276       2.8571       1.4469          846
   118.1       900000       900000       900000      13.1322        5.098      19.9296       0.3281       2.8571       1.4451          848
  118.15       900000       900000       900000       13.062       5.0896      19.8481       0.3276        2.849       1.4427          848
   118.2       900000       900000       900000      12.7661        4.961      19.3807        0.328       2.8169       1.4252          841
  118.25       900000       900000       900000      12.6062       4.8284      19.0441       0.3302       2.8011       1.4104          827
   118.3       900000       900000       900000       12.512        4.698       18.776       0.3331       2.7933       1.3972          814
  118.35       900000       900000       900000      12.6353       4.6767      18.8709       0.3353        2.809       1.3984          807
   118.4       900000       900000       900000      12.7738       4.7105      19.0544       0.3358       2.8249       1.4045          805
  118.45       900000       900000       900000      12.9274       4.7977      19.3244       0.3349       2.8409       1.4155          802
   118.5       900000       900000       900000      13.1637       4.9353      19.7441       0.3334       2.8653       1.4326          795
  118.55       900000       900000       900000      13.3209       5.0138      20.0061       0.3328       2.8818       1.4427          790
   118.6       900000       900000       900000      13.3941       5.0263      20.0958       0.3332       2.8902       1.4454          792
  118.65       900000       900000       900000      13.4772       5.0779      20.2478       0.3326       2.8986       1.4516          798
   118.7       900000       900000       900000      13.3377       5.0861      20.1192       0.3308       2.8818        1.449          805
  118.75       900000       900000       900000      13.1342       5.1073      19.9439       0.3279       2.8571       1.4458          811
   118.8       900000       900000       900000      12.8553       5.0672      19.6117       0.3258       2.8249       1.4359          813
  118.85       900000       900000       900000      12.7159       5.0319      19.4251       0.3252        2.809       1.4297          815
   118.9       900000       900000       900000      12.6412       4.9871      19.2907       0.3257       2.8011       1.4242          818
  118.95       900000       900000       900000      12.6395       4.9793      19.2786       0.3259       2.8011       1.4236          814
     119       900000       900000       900000      12.6434       4.9973      19.3065       0.3254       2.8011       1.4251          805
  119.05       900000       900000       900000      12.7179       5.0416        19.44       0.3249        2.809       1.4305          799
   119.1       900000       900000       900000      12.7096       5.0027      19.3799        0.326        2.809       1.4272          796
  119.15       900000       900000       900000      12.7628       4.9461      19.3576       0.3284       2.8169       1.4239          794
   119.2       900000       900000       900000      12.8882       4.9151      19.4417       0.3308       2.8329       1.4244          788
  119.25       900000       900000       900000        12.87       4.8365      19.3186        0.333       2.8329       1.4174          781
   119.3       900000       900000       900000      12.8497       4.7514      19.1849       0.3354       2.8329       1.4098          781
  119.35       900000       900000       900000      12.7528       4.6257      18.9205       0.3382       2.8249       1.3968          785
   119.4       900000       900000       900000      12.5815       4.4627      18.5318       0.3414        2.809       1.3784          785
  119.45       900000       900000       900000      12.5542       4.3595      18.3668       0.3444        2.809       1.3685          782
   119.5       900000       900000       900000      12.4655       4.2677      18.1558       0.3464       2.8011       1.3581          778
  119.55       900000       900000       900000      12.5378       4.2993      18.2702       0.3461        2.809       1.3626          774
   119.6       900000       900000       900000      12.5539       4.3586      18.3654       0.3444        2.809       1.3684          771
  119.65       900000       900000       900000      12.5701       4.4189      18.4619       0.3427        2.809       1.3743          764
   119.7       900000       900000       900000      12.7239       4.5124      18.7403       0.3414       2.8249       1.3861          762
  119.75       900000       900000       900000      12.8052       4.5731      18.9026       0.3404       2.8329       1.3934          762
   119.8       900000       900000       900000      12.8263       4.6564      19.0348       0.3381       2.8329       1.4011          767
  119.85       900000       900000       900000      12.6993       4.6735      18.9307       0.3361       2.8169       1.3996          774
   119.9       900000       900000       900000      12.5773       4.7038      18.8491       0.3337       2.8011       1.3993          774
  119.95       900000       900000       900000      12.5931       4.7714       18.955       0.3318       2.8011       1.4054          771
     120       900000       900000       900000      12.5999       4.8006      19.0007        0.331       2.8011        1.408          766
  120.05       900000       900000       900000      12.7404        4.847       19.203       0.3312       2.8169       1.4152          760
   120.1       900000       900000       900000      12.8738       4.8529      19.3443       0.3326       2.8329       1.4189          758
  120.15       900000       900000       900000       12.797       4.8078      19.2074       0.3331       2.8249       1.4133          757
   120.2       900000       900000       900000      12.7983       4.8133       19.216       0.3329       2.8249       1.4138          755
  120.25       900000       900000       900000      12.8805       4.8817      19.3894       0.3318       2.8329       1.4214          761
   120.3       900000       900000       900000      13.1142       5.0176      19.8044       0.3303       2.8571       1.4381          773
  120.35       900000       900000       900000      13.5666       5.1549      20.4399       0.3314        2.907       1.4599          784
   120.4       900000       900000       900000      14.0359       5.2678      21.0595       0.3332       2.9586       1.4797          800
  120.45       900000       900000       900000      14.9659       5.5024      22.3024       0.3362       3.0581        1.519          834
   120.5       900000       900000       900000      16.9199        6.007      24.9293       0.3413       3.2573        1.599          854
  120.55       900000       900000       900000      19.8637       6.8892      29.0493       0.3446       3.5336       1.7208          794
   120.6       900000       900000       900000      23.4189       7.7546      33.7584       0.3509       3.8462       1.8434          666
  120.65       900000       900000       900000      23.7395       7.7271      34.0423       0.3532        3.876       1.8466          559
   120.7       900000       900000       900000      18.9904       6.0029      26.9943        0.357       3.4722       1.6374          513
  120.75       900000       900000       900000       13.891       4.2215      19.5196        0.362       2.9762       1.3841          497
   120.8       900000       900000       900000       9.9231       2.9442      13.8487        0.365       2.5189       1.1614          486
  120.85       900000       900000       900000       8.7797       2.5984      12.2442       0.3653       2.3697       1.0916          481
   120.9       900000       900000       900000       8.5142       2.5689      11.9394       0.3629        2.331       1.0812          480
  120.95       900000       900000       900000       8.8561       2.7131      12.4735        0.361       2.3753       1.1078          483
     121       900000       900000       900000       9.2981       2.8646      13.1175       0.3603       2.4331        1.137          490
  121.05       900000       900000       900000       9.4826       2.9237      13.3809       0.3602        2.457       1.1485          498
   121.1       900000       900000       900000       9.6829       3.0163      13.7046       0.3589       2.4814       1.1641          504
  121.15       900000       900000       900000       10.096       3.1928      14.3531        0.357       2.5316        1.194          508
   121.2       900000       900000       900000      10.4909       3.3978      15.0212       0.3538       2.5773       1.2258          514
  121.25       900000       900000       900000      10.9017       3.5968      15.6974       0.3514       2.6247       1.2564          522
   121.3       900000       900000       900000       11.207       3.7393      16.1927       0.3499       2.6596        1.278          534
  121.35       900000       900000       900000      11.8207       3.9219      17.0499       0.3506       2.7322       1.3104          543
   121.4       900000       900000       900000      12.5523        4.127       18.055       0.3518       2.8169       1.3468          545
  121.45       900000       900000       900000      13.0653       4.3044      18.8044       0.3516       2.8736       1.3748          542
   121.5       900000       900000       900000      13.3879       4.4636      19.3394         0.35        2.907       1.3966          534
  121.55       900000       900000       900000      13.0189       4.3779      18.8561       0.3488       2.8653       1.3806          530
   121.6       900000       900000       900000       12.252        4.173       17.816       0.3471       2.7778       1.3444          530
  121.65       900000       900000       900000      11.5435       3.9553      16.8172       0.3462       2.6954       1.3072          535
   121.7       900000       900000       900000      10.1993       3.5477      14.9295       0.3442       2.5316       1.2341          540
  121.75       900000       900000       900000       9.3959         3.34      13.8492       0.3411       2.4272        1.192          541
   121.8       900000       900000       900000       8.9472       3.3025      13.3505       0.3357       2.3641       1.1758          541
  121.85       900000       900000       900000        9.072       3.5041      13.7441       0.3289       2.3753       1.1993          545
   121.9       900000       900000       900000        9.842        3.969       15.134       0.3223       2.4691       1.2645          545
  121.95       900000       900000       900000      10.8114       4.5107      16.8256       0.3169        2.584       1.3379          543
     122       900000       900000       900000      11.6701       5.0281      18.3742       0.3116        2.681       1.4025          553
  122.05       900000       900000       900000      12.2093       5.3778      19.3798        0.308       2.7397       1.4432          575
   122.1       900000       900000       900000      12.5617       5.5932      20.0193       0.3061       2.7778       1.4683          595
  122.15       900000       900000       900000      12.8483       5.7356      20.4958       0.3057        2.809        1.486          608
   122.2       900000       900000       900000      12.9181       5.7519      20.5873       0.3061       2.8169       1.4889          619
  122.25       900000       900000       900000      12.9871       5.7598      20.6668       0.3068       2.8249       1.4913          638
   122.3       900000       900000       900000      12.9069       5.6853      20.4873        0.308       2.8169       1.4839          662
  122.35       900000       900000       900000      12.8898       5.5865      20.3384       0.3107       2.8169       1.4763          693
   122.4       900000       900000       900000      13.0873       5.5537      20.4922       0.3141       2.8409       1.4789          719
  122.45       900000       900000       900000      13.5245       5.6382      21.0421        0.317       2.8902       1.4961          750
   122.5       900000       900000       900000      14.1619       5.8548      21.9684       0.3183       2.9586       1.5274          773
  122.55       900000       900000       900000      15.0476       6.2638      23.3993       0.3172       3.0488       1.5774          782
   122.6       900000       900000       900000      15.6352       6.6135      24.4533       0.3146       3.1056       1.6151          776
  122.65       900000       900000       900000      16.0533       6.9031      25.2575       0.3119       3.1447        1.644          757
   122.7       900000       900000       900000      16.1641       6.9991      25.4962       0.3108       3.1546       1.6528          730
  122.75       900000       900000       900000      15.7716       6.8707      24.9325       0.3098       3.1153       1.6354          677
   122.8       900000       900000       900000      15.1264       6.7018      24.0621        0.307       3.0488        1.609          616
  122.85       900000       900000       900000      14.5319       6.6162      23.3536       0.3024       2.9851       1.5889          574
   122.9       900000       900000       900000      13.9626       6.4746      22.5954       0.2992        2.924       1.5652          556
  122.95       900000       900000       900000      13.4225       6.3147      21.8421       0.2967       2.8653       1.5407          536
     123       900000       900000       900000      12.9027       6.0885      21.0206       0.2961        2.809       1.5118          516
  123.05       900000       900000       900000      12.4825       5.9163      20.3709       0.2953       2.7624       1.4887          505
   123.1       900000       900000       900000      12.2126       5.7981      19.9434       0.2951       2.7322       1.4732          503
  123.15       900000       900000       900000      12.1453       5.7605       19.826       0.2952       2.7248       1.4687          500
   123.2       900000       900000       900000      12.1337       5.6804      19.7076       0.2975       2.7248       1.4629          488
  123.25       900000       900000       900000      12.0456       5.5022      19.3818       0.3018       2.7174       1.4478          470
   123.3       900000       900000       900000      11.9468       5.2662      18.9685       0.3078         2.71       1.4279          462
  123.35       900000       900000       900000      11.7913       5.0549      18.5312       0.3125       2.6954       1.4078          466
   123.4       900000       900000       900000      11.7712       4.9459      18.3657       0.3157       2.6954       1.3988          475
  123.45       900000       900000       900000       11.942       4.9136      18.4935       0.3191       2.7174       1.4007          479
   123.5       900000       900000       900000      12.1348       4.9726      18.7648       0.3197       2.7397       1.4103          477
  123.55       900000       900000       900000      12.3935       5.0251      19.0936       0.3214       2.7701       1.4211          474
   123.6       900000       900000       900000      12.4612       5.0472      19.1908       0.3216       2.7778       1.4245          474
  123.65       900000       900000       900000      12.2633       4.9996      18.9295       0.3205       2.7548       1.4158          479
   123.7       900000       900000       900000      12.2192       5.0904      19.0064       0.3171       2.7473       1.4218          492
  123.75       900000       900000       900000      12.1171       5.2018      19.0528       0.3122       2.7322       1.4276          504
   123.8       900000       900000       900000      12.1458       5.3668      19.3015       0.3074       2.7322       1.4407          517
  123.85       900000       900000       900000      12.5009        5.615      19.9876       0.3047       2.7701       1.4682          527
   123.9       900000       900000       900000      12.8549        5.776      20.5563       0.3046        2.809        1.489          533
  123.95       900000       900000       900000       13.214       5.8824      21.0571       0.3062        2.849       1.5058          540
     124       900000       900000       900000      13.5118       5.9673      21.4681       0.3075       2.8818       1.5194          545
  124.05       900000       900000       900000      13.6569       5.9665      21.6122       0.3093       2.8986        1.523          548
   124.1       900000       900000       900000      13.8066        5.979      21.7786       0.3108       2.9155       1.5276          570
  124.15       900000       900000       900000      14.0385       6.0131       22.056       0.3126       2.9412       1.5357          621
   124.2       900000       900000       900000      14.5361       6.1696      22.7622       0.3141        2.994       1.5587          673
  124.25       900000       900000       900000       15.162       6.4196      23.7214       0.3145       3.0581       1.5909          683
   124.3       900000       900000       900000      15.4502       6.5722      24.2132       0.3137       3.0864        1.608          653
  124.35       900000       900000       900000      15.4714       6.6896      24.3908        0.311       3.0864       1.6164          614
   124.4       900000       900000       900000      15.2087       6.6821      24.1182       0.3084       3.0581       1.6097          609
  124.45       900000       900000       900000      15.0372       6.6769      23.9397       0.3066       3.0395       1.6052          636
   124.5       900000       900000       900000      15.1392       6.7794      24.1784       0.3052       3.0488       1.6144          653
  124.55       900000       900000       900000      15.4294       6.9633      24.7139       0.3039       3.0769       1.6333          628
   124.6       900000       900000       900000      15.6237       7.0657      25.0445       0.3035        3.096       1.6444          589
  124.65       900000       900000       900000      15.4238       6.9281      24.6613       0.3047       3.0769       1.6309          566
   124.7       900000       900000       900000      14.7622       6.5303      23.4694       0.3072        3.012       1.5888          554
  124.75       900000       900000       900000       14.062       6.1461      22.2568       0.3093       2.9412       1.5456          556
   124.8       900000       900000       900000      13.6442       5.8942      21.5031       0.3112       2.8986       1.5175          570
  124.85       900000       900000       900000       13.478       5.7741      21.1768       0.3126       2.8818       1.5048          599
   124.9       900000       900000       900000      13.7086       5.8451      21.5021       0.3133        2.907       1.5156          634
  124.95       900000       900000       900000      14.1909        6.007      22.2003       0.3145       2.9586        1.539          684
     125       900000       900000       900000      14.7905       6.2265      23.0926       0.3154       3.0211       1.5688          730
  125.05       900000       900000       900000      15.2385       6.3706      23.7327       0.3165       3.0675       1.5893          743
   125.1       900000       900000       900000      15.4274       6.4505      24.0281       0.3165       3.0864       1.5992          734
  125.15       900000       900000       900000       15.337       6.4339      23.9155        0.316       3.0769       1.5959          705
   125.2       900000       900000       900000       14.868       6.1998      23.1344        0.317       3.0303       1.5687          664
  125.25       900000       900000       900000      14.4253       6.0047      22.4316       0.3172       2.9851       1.5444          639
   125.3       900000       900000       900000      13.9981       5.7982       21.729        0.318       2.9412       1.5193          652
  125.35       900000       900000       900000       13.915        5.758      21.5924       0.3182       2.9326       1.5144          722
   125.4       900000       900000       900000      14.1684       5.8882      22.0194       0.3175       2.9586       1.5299          801
  125.45       900000       900000       900000      14.5091       6.0263      22.5441       0.3176        2.994        1.548          841
   125.5       900000       900000       900000      14.5128       6.0456      22.5736       0.3171        2.994       1.5494          869
  125.55       900000       900000       900000      14.3385       5.9632      22.2893       0.3174       2.9762       1.5394          883
   125.6       900000       900000       900000      13.9962       5.7882      21.7138       0.3183       2.9412       1.5185          887
  125.65       900000       900000       900000      13.7463       5.6563       21.288       0.3191       2.9155       1.5028          886
   125.7       900000       900000       900000      13.5815       5.5608      20.9958       0.3199       2.8986       1.4917          876
  125.75       900000       900000       900000      13.4989       5.5077      20.8425       0.3204       2.8902       1.4857          856
   125.8       900000       900000       900000      13.6609       5.5951      21.1211       0.3198        2.907       1.4962          818
  125.85       900000       900000       900000       13.906       5.7121      21.5221       0.3194       2.9326       1.5108          758
   125.9       900000       900000       900000       14.419       5.9719      22.3815        0.318       2.9851       1.5419          712
  125.95       900000       900000       900000      14.7763       6.1519      22.9788       0.3172       3.0211       1.5632          676
     126       900000       900000       900000      15.0564       6.3097      23.4693       0.3161       3.0488       1.5808          657
  126.05       900000       900000       900000      15.0592       6.3246       23.492       0.3158       3.0488       1.5819          634
   126.1       900000       900000       900000      14.9772       6.3363      23.4256       0.3146       3.0395       1.5808          603
  126.15       900000       900000       900000      14.7122       6.2466       23.041        0.314        3.012       1.5683          575
   126.2       900000       900000       900000       14.381       6.1923      22.6374       0.3117       2.9762       1.5566          562
  126.25       900000       900000       900000      14.1403       6.1549      22.3469       0.3099       2.9499       1.5481          568
   126.3       900000       900000       900000      13.9849       6.1405      22.1722       0.3085       2.9326       1.5433          584
  126.35       900000       900000       900000      14.1634       6.2904      22.5506       0.3066       2.9499        1.558          598
   126.4       900000       900000       900000      14.4291       6.4739       23.061       0.3048       2.9762       1.5769          614
  126.45       900000       900000       900000      14.8703       6.6833      23.7814       0.3046       3.0211       1.6016          615
   126.5       900000       900000       900000      15.2413       6.8782      24.4122       0.3039       3.0581       1.6233          604
  126.55       900000       900000       900000      15.3356       6.9251      24.5691       0.3038       3.0675       1.6286          590
   126.6       900000       900000       900000       15.155       6.8771      24.3245       0.3029       3.0488       1.6211          570
  126.65       900000       900000       900000      14.5247       6.5705      23.2853       0.3035       2.9851       1.5857          550
   126.7       900000       900000       900000      13.7659       6.1767      22.0015       0.3048        2.907       1.5403          535
  126.75       900000       900000       900000      13.3639       5.9379      21.2811       0.3065       2.8653       1.5135          540
   126.8       900000       900000       900000      13.1974       5.7843      20.9098       0.3088        2.849       1.4985          543
  126.85       900000       900000       900000      13.2532       5.7051      20.8601       0.3118       2.8571       1.4942          531
   126.9       900000       900000       900000      13.0187       5.5521      20.4215       0.3133       2.8329       1.4771          518
  126.95       900000       900000       900000      12.7235       5.4006      19.9243       0.3141       2.8011       1.4583          517
     127       900000       900000       900000      12.5102       5.2991      19.5756       0.3144       2.7778       1.4452          528
  127.05       900000       900000       900000      12.4315       5.2194      19.3907       0.3158       2.7701       1.4372          557
   127.1       900000       900000       900000      12.7056       5.3051       19.779       0.3167       2.8011       1.4507          576
  127.15       900000       900000       900000      13.1374       5.4552      20.4109       0.3176        2.849       1.4729          576
   127.2       900000       900000       900000      13.3615       5.5322      20.7377       0.3181       2.8736       1.4842          579
  127.25       900000       900000       900000      13.4367       5.5543      20.8423       0.3183       2.8818       1.4877          593
   127.3       900000       900000       900000       13.437       5.5557      20.8446       0.3183       2.8818       1.4878          636
  127.35       900000       900000       900000       13.428       5.5101      20.7748       0.3195       2.8818       1.4842          730
   127.4       900000       900000       900000      13.6485       5.5333      21.0262       0.3214        2.907       1.4913          834
  127.45       900000       900000       900000      13.7834       5.4766      21.0856       0.3246        2.924       1.4902          948
   127.5       900000       900000       900000      13.7653        5.392      20.9547       0.3268        2.924       1.4832         1003
  127.55       900000       900000       900000      13.6629       5.2599      20.6761       0.3294       2.9155       1.4705         1028
   127.6       900000       900000       900000        13.57       5.1694      20.4626        0.331        2.907       1.4611         1050
  127.65       900000       900000       900000      13.4781        5.082      20.2542       0.3325       2.8986       1.4519         1066
   127.7       900000       900000       900000       13.461       5.0098      20.1407       0.3345       2.8986       1.4456         1071
  127.75       900000       900000       900000      13.4425       4.9331      20.0199       0.3365       2.8986       1.4388         1068
   127.8       900000       900000       900000       13.352       4.8528      19.8224       0.3379       2.8902         1.43         1064
  127.85       900000       900000       900000      13.2751       4.8244      19.7076       0.3379       2.8818       1.4259         1060
   127.9       900000       900000       900000      13.1381       4.8289      19.5766       0.3363       2.8653       1.4231         1057
  127.95       900000       900000       900000      13.0051       4.8412        19.46       0.3344        2.849        1.421         1055
     128       900000       900000       900000      12.8706       4.8391      19.3228       0.3329       2.8329       1.4177         1052
  128.05       900000       900000       900000      12.6603       4.7825      19.0369       0.3322        2.809       1.4079         1050
   128.1       900000       900000       900000      12.5972       4.7891      18.9827       0.3313       2.8011        1.407         1045
  128.15       900000       900000       900000      12.6128       4.8578      19.0899       0.3293       2.8011        1.413         1040
   128.2       900000       900000       900000      12.7087       4.9984      19.3733       0.3261        2.809       1.4268         1020
  128.25       900000       900000       900000      12.8063       5.1495      19.6724       0.3227       2.8169       1.4412          956
   128.3       900000       900000       900000      12.9602       5.2487      19.9585       0.3216       2.8329       1.4527          890
  128.35       900000       900000       900000      13.2582        5.366      20.4129       0.3217       2.8653       1.4691          830
   128.4       900000       900000       900000      13.6346       5.4657      20.9223       0.3232        2.907       1.4858          789
  128.45       900000       900000       900000      14.1942       5.6345      21.7069       0.3247       2.9674       1.5118          757
   128.5       900000       900000       900000      14.8874       5.8857      22.7349       0.3253       3.0395       1.5465          751
  128.55       900000       900000       900000       15.165       6.0059      23.1729       0.3251       3.0675       1.5616          758
   128.6       900000       900000       900000      15.0713       5.9638       23.023       0.3252       3.0581       1.5564          795
  128.65       900000       900000       900000      14.5299       5.7361      22.1781       0.3256        3.003       1.5272          856
   128.7       900000       900000       900000      13.6124       5.3603      20.7595        0.326        2.907       1.4772          892
  128.75       900000       900000       900000      12.9414       5.1577      19.8183       0.3241       2.8329       1.4452          890
   128.8       900000       900000       900000      12.4519       5.0015      19.1205       0.3229       2.7778       1.4207          852
  128.85       900000       900000       900000      12.1911       4.9481      18.7886       0.3212       2.7473       1.4098          797
   128.9       900000       900000       900000      12.2665       5.0158      18.9543       0.3201       2.7548       1.4171          713
  128.95       900000       900000       900000       12.685       5.1994      19.6176       0.3197       2.8011       1.4421          627
     129       900000       900000       900000      13.7251       5.5505      21.1258       0.3218       2.9155       1.4944          560
  129.05       900000       900000       900000      14.8948        5.921      22.7895       0.3245       3.0395       1.5493          518
   129.1       900000       900000       900000      15.3265       5.9585      23.2711       0.3279       3.0864       1.5618          496
  129.15       900000       900000       900000       14.746       5.6183       22.237        0.331       3.0303       1.5232          492
   129.2       900000       900000       900000       13.451        4.968      20.0751       0.3356       2.8986       1.4419          498
  129.25       900000       900000       900000      11.7999       4.2764      17.5017       0.3383       2.7174       1.3432          505
   129.3       900000       900000       900000      11.0493       3.9429      16.3065       0.3405       2.6316        1.294          513
  129.35       900000       900000       900000      10.5907       3.7526      15.5941       0.3416       2.5773       1.2643          519
   129.4       900000       900000       900000      10.2554       3.5819      15.0313       0.3436       2.5381        1.239          523
  129.45       900000       900000       900000      10.3451       3.5621      15.0946       0.3456        2.551       1.2392          524
   129.5       900000       900000       900000      10.5489       3.5977      15.3459       0.3469       2.5773       1.2479          522
  129.55       900000       900000       900000      10.9336       3.7079      15.8775       0.3477       2.6247       1.2684          522
   129.6       900000       900000       900000      11.5798       3.8838      16.7582       0.3492       2.7027       1.3011          523
  129.65       900000       900000       900000      11.9574       3.9874       17.274       0.3499       2.7473       1.3199          530
   129.7       900000       900000       900000      12.0849       4.0145      17.4376       0.3505       2.7624       1.3255          539
  129.75       900000       900000       900000      12.2991       4.1213      17.7942       0.3493       2.7855       1.3405          542
   129.8       900000       900000       900000      12.3821       4.1942      17.9743       0.3478       2.7933       1.3493          545
  129.85       900000       900000       900000      12.4084       4.2894      18.1276        0.345       2.7933       1.3588          546
   129.9       900000       900000       900000       12.312       4.3969      18.1746       0.3404       2.7778       1.3663          549
  129.95       900000       900000       900000      11.7534       4.3232      17.5177       0.3362         2.71       1.3463          557
     130       900000       900000       900000      11.1765       4.2462      16.8381       0.3314       2.6385        1.325          570
  130.05       900000       900000       900000      10.9256       4.3085      16.6703       0.3257       2.6042       1.3239          587
   130.1       900000       900000       900000      10.9542       4.4455      16.8815       0.3213       2.6042       1.3364          604
  130.15       900000       900000       900000      11.8312       4.9534      18.4357       0.3163       2.7027       1.4009          620
   130.2       900000       900000       900000      12.7998       5.4565      20.0751       0.3134        2.809       1.4645          635
  130.25       900000       900000       900000      13.8832       5.9902      21.8702       0.3114        2.924       1.5303          648
   130.3       900000       900000       900000      14.1396        6.151      22.3409         0.31       2.9499       1.5478          655
  130.35       900000       900000       900000       13.658       5.9728      21.6217       0.3092       2.8986       1.5234          654
   130.4       900000       900000       900000      13.1195       5.7341      20.7651       0.3093       2.8409       1.4929          646
  130.45       900000       900000       900000      12.8984       5.6358      20.4128       0.3093       2.8169       1.4801          636
   130.5       900000       900000       900000      13.0398       5.6697      20.5994       0.3101       2.8329       1.4862          635
  130.55       900000       900000       900000      13.7317       5.9744      21.6975         0.31        2.907       1.5254          640
   130.6       900000       900000       900000      14.3065       6.2161      22.5946       0.3102       2.9674       1.5564          646
  130.65       900000       900000       900000      15.1041       6.5715      23.8661         0.31       3.0488       1.5998          646
   130.7       900000       900000       900000       15.575       6.7746      24.6077       0.3101        3.096       1.6244          636
  130.75       900000       900000       900000      15.5707       6.7504      24.5712       0.3106        3.096       1.6227          614
   130.8       900000       900000       900000      15.2651       6.5132      23.9494       0.3132       3.0675       1.5997          596
  130.85       900000       900000       900000      14.8779       6.2514      23.2131       0.3157       3.0303       1.5726          588
   130.9       900000       900000       900000      14.5049       6.0048      22.5113       0.3181        2.994       1.5463          582
  130.95       900000       900000       900000      14.1527       5.8077      21.8963       0.3195       2.9586       1.5237          570
     131       900000       900000       900000      13.8096        5.603      21.2803       0.3213        2.924       1.5004          565
  131.05       900000       900000       900000      13.4802        5.416      20.7015       0.3228       2.8902       1.4783          600
   131.1       900000       900000       900000      13.3945       5.3455      20.5218       0.3239       2.8818       1.4708          663
  131.15       900000       900000       900000      13.3091       5.2747      20.3421        0.325       2.8736       1.4633          746
   131.2       900000       900000       900000      13.3077       5.2682       20.332       0.3251       2.8736       1.4627          828
  131.25       900000       900000       900000      13.3198       5.3255      20.4205       0.3236       2.8736       1.4675          863
   131.3       900000       900000       900000      12.9605       5.2504       19.961       0.3215       2.8329       1.4529          876
  131.35       900000       900000       900000      12.6879       5.2142      19.6402       0.3193       2.8011       1.4433          882
   131.4       900000       900000       900000      12.4863       5.1735      19.3843        0.318       2.7778        1.435          884
  131.45       900000       900000       900000      12.7005       5.2787      19.7387       0.3175       2.8011       1.4486          878
   131.5       900000       900000       900000       13.066       5.4408      20.3204       0.3172       2.8409         1.47          890
  131.55       900000       900000       900000      13.3657       5.5541      20.7711       0.3175       2.8736       1.4859          912
   131.6       900000       900000       900000      13.4399        5.571       20.868       0.3179       2.8818        1.489          915
  131.65       900000       900000       900000      13.4405       5.5737       20.872       0.3178       2.8818       1.4892          880
   131.7       900000       900000       900000      13.5179       5.6042      20.9902       0.3179       2.8902       1.4934          838
  131.75       900000       900000       900000      13.8396       5.7546      21.5124       0.3174        2.924       1.5123          774
   131.8       900000       900000       900000      14.0055       5.8363      21.7873       0.3171       2.9412       1.5223          724
  131.85       900000       900000       900000      14.2615       5.9697      22.2211       0.3163       2.9674        1.538          710
   131.9       900000       900000       900000       14.448       6.1249      22.6146       0.3143       2.9851       1.5535          719
  131.95       900000       900000       900000      14.7222       6.3011      23.1237       0.3127        3.012       1.5723          733
     132       900000       900000       900000           15       6.4617      23.6157       0.3117       3.0395       1.5899          737
  132.05       900000       900000       900000      15.4629       6.6423      24.3193       0.3121       3.0864        1.613          733
   132.1       900000       900000       900000      15.9305       6.7373      24.9135       0.3147       3.1348       1.6302          726
  132.15       900000       900000       900000      16.3274       6.8548      25.4672       0.3159       3.1746        1.647          713
   132.2       900000       900000       900000      16.5424       6.9729      25.8396       0.3152       3.1949       1.6597          697
  132.25       900000       900000       900000      16.5577       7.0555       25.965       0.3134       3.1949       1.6654          679
   132.3       900000       900000       900000      16.1668       7.0144      25.5193       0.3105       3.1546       1.6539          648
  132.35       900000       900000       900000      15.6549       6.7214      24.6167       0.3122       3.1056       1.6228          602
   132.4       900000       900000       900000      14.9857       6.3824      23.4955       0.3135       3.0395       1.5842          566
  132.45       900000       900000       900000      14.4989        5.974      22.4642       0.3189        2.994        1.544          532
   132.5       900000       900000       900000      14.1363       5.7259      21.7708       0.3216       2.9586       1.5173          521
  132.55       900000       900000       900000      13.9624       5.6193      21.4548       0.3226       2.9412       1.5052          522
   132.6       900000       900000       900000      14.0467       5.6616      21.5955       0.3223       2.9499       1.5104          526
  132.65       900000       900000       900000      14.0519       5.6867      21.6341       0.3217       2.9499       1.5124          534
   132.7       900000       900000       900000      13.8025        5.568      21.2265       0.3222        2.924       1.4976          542
  132.75       900000       900000       900000      13.5604       5.4566      20.8358       0.3226       2.8986       1.4833          550
   132.8       900000       900000       900000      13.5715       5.5112      20.9198       0.3212       2.8986       1.4877          560
  132.85       900000       900000       900000      13.9957       5.7856      21.7098       0.3183       2.9412       1.5183          570
   132.9       900000       900000       900000      14.0104       5.8618      21.8261       0.3164       2.9412       1.5242          582
