?rank,rid,costMoney,level,vip,nickname,clubName,combat,topHeroesCombat,online,lastOfflineTime,groupId
1059, 429793_1006, 6, 41, 2, 纠结_小萝莉, 咔咔咔, 35998, 54462, 0, 2019-12-03 23:53:15, Group_4
1060, 433352_1006, 6, 40, 1, 魔王, 名人堂, 32736, 54069, 0, 2019-12-03 21:15:22, Group_1
1061, 132894_1006, 6, 41, 2, 海飞丝, 哦啊, 36038, 52638, 0, 2019-12-03 22:30:13, Group_2
1062, 423457_1006, 6, 37, 1, 折翼的基友, 八神战队, 29049, 44218, 0, 2019-12-04 00:52:25, Group_2
1063, 435450_1006, 6, 19, 1, 亮眼丶草仙, 0, 3350, 3727, 0, 2019-11-29 21:19:36, Group_3
1064, 425252_1006, 6, 29, 1, 挺拔丶运动员, 0, 10911, 12778, 0, 2019-12-03 15:59:46, Group_2
1065, 426757_1006, 6, 38, 1, _狼王, 咔咔咔, 27725, 41302, 0, 2019-12-03 11:46:13, Group_4
1066, 430190_1006, 6, 31, 1, 无双丨将军, 0, 11214, 17187, 0, 2019-12-02 14:45:31, Group_1
1067, 432634_1006, 6, 41, 2, 凌乱灬, 八神战队, 36969, 52297, 0, 2019-12-03 21:35:01, Group_2
1068, 401751_1006, 6, 34, 1, 痛快灬基友, 了哦哦, 18620, 29084, 0, 2019-12-02 12:51:33, Group_3
1069, 432646_1006, 6, 31, 1, 莫名X红帽, 刚刚, 16504, 22344, 0, 2019-12-01 14:53:15, Group_1
1070, 421328_1006, 6, 31, 1, 流云X, 八神庵, 11025, 15124, 0, 2019-12-02 01:08:23, Group_3
1071, 427990_1006, 6, 37, 1, 石洋, 南风, 26972, 38963, 0, 2019-12-03 13:04:10, Group_2
1072, 421699_1006, 6, 39, 1, 清风杀戮, 梦之队, 34297, 49637, 0, 2019-12-03 22:16:18, Group_4
1073, 435454_1006, 6, 38, 1, 野蛮_香皂, 八尺琼楼, 24585, 39019, 0, 2019-12-03 16:23:02, Group_3
1074, 422322_1006, 6, 31, 1, 之伪装者, 0, 11065, 14325, 0, 2019-12-03 14:54:22, Group_3
1075, 434091_1006, 6, 39, 1, 困倦的大菠萝, 魔门, 32803, 46496, 0, 2019-12-02 13:13:50, Group_4
1076, 423822_1006, 6, 39, 1, 有力太阳神, 千鹤乱舞, 38245, 56573, 0, 2019-12-03 20:19:49, Group_1
1077, 426093_1006, 6, 33, 1, 狂野火种, 你还是不是男, 16754, 26304, 0, 2019-12-02 18:57:32, Group_4
1078, 431500_1006, 6, 35, 1, 清新丶冰女, 鬼族, 26534, 37604, 0, 2019-12-04 00:38:20, Group_4
1079, 420940_1006, 6, 36, 1, 有才丨天秤座, 0, 20108, 33553, 0, 2019-12-04 02:10:27, Group_2
1080, 425890_1006, 6, 35, 1, 灬黑道, 白竹, 22106, 28945, 0, 2019-12-04 03:17:25, Group_3
1081, 426941_1006, 6, 37, 1, 颓废丨黑道, 风风??飍飍, 28466, 42498, 0, 2019-12-02 06:27:52, Group_2
1082, 427479_1006, 6, 38, 1, 江湖灬名言, 水花兄弟, 29418, 46707, 0, 2019-12-03 19:00:38, Group_1
1083, 431414_1006, 6, 41, 1, 泪奔X白富美, 来吧！, 34255, 45826, 0, 2019-12-04 04:30:47, Group_3
1084, 429961_1006, 6, 26, 1, 放荡丶女王, 0, 9609, 12615, 0, 2019-12-01 05:39:03, Group_1
1085, 432864_1006, 6, 39, 1, 反手一拐爪, 狼王兄弟军团, 29141, 44116, 0, 2019-12-03 14:29:27, Group_3
1086, 427526_1006, 6, 37, 1, 壬聿, uuu, 21651, 33164, 0, 2019-12-03 21:57:26, Group_3
1087, 422971_1006, 6, 39, 1, 蛮横灬战神, 汇编成册不会, 28276, 44547, 0, 2019-12-03 18:52:06, Group_3
1088, 432740_1006, 6, 39, 1, 怪僻灬榴莲, 刚刚, 36028, 53772, 0, 2019-12-04 01:41:44, Group_1
1089, 430302_1006, 6, 40, 2, 丨小美女, *坤, 37642, 54256, 0, 2019-12-04 01:04:42, Group_4
1090, 423663_1006, 6, 31, 1, 旋风无敌腿, 0, 12867, 16123, 0, 2019-12-01 15:02:44, Group_2
1091, 428393_1006, 6, 38, 1, 寂寞灬阳阳, 刘新宇潘爽, 27994, 42652, 0, 2019-12-03 08:51:03, Group_3
1092, 426895_1006, 6, 26, 1, 忧郁灬达人, 0, 9989, 12581, 0, 2019-12-03 13:14:39, Group_3
1093, 427342_1006, 6, 40, 2, 偌汐, 烈焰, 30155, 43942, 0, 2019-12-03 18:13:44, Group_2
1094, 426998_1006, 6, 37, 1, 流云_野人, 刚刚, 31975, 43946, 0, 2019-12-04 02:09:36, Group_1
1095, 423937_1006, 6, 30, 1, 诙谐的阳阳, 风风??飍飍, 10763, 16431, 0, 2019-12-02 02:38:33, Group_2
1096, 430183_1006, 6, 39, 1, 有才_阳阳, 快快乐乐, 25727, 42693, 0, 2019-12-04 00:58:51, Group_1
1097, 424925_1006, 6, 30, 1, 残暴总旗, 快快乐乐, 11921, 15725, 0, 2019-12-04 02:31:49, Group_1
1098, 423907_1006, 6, 40, 2, 不听话打屁屁, 高数, 40276, 56289, 0, 2019-12-03 22:25:28, Group_4
