?rank,rid,costMoney,level,vip,nickname,clubName,combat,topHeroesCombat,online,lastOfflineTime,groupId
96, 435361_1006, 204, 27, 3, 碉堡丶猴子, 咔咔咔, 16437, 20855, 0, 2019-11-27 13:17:36, Group_4
97, 429360_1006, 204, 35, 3, 残暴丶, 南风, 30514, 41570, 0, 2019-11-29 10:19:04, Group_2
98, 425923_1006, 198, 40, 3, 圣宇光之创造神, 南风, 38162, 56405, 0, 2019-12-03 22:07:48, Group_2
99, 426555_1006, 190, 41, 3, 倾城的大魔王, 撕裂, 37441, 51270, 0, 2019-12-04 00:13:15, Group_3
100, 416952_1006, 190, 41, 3, 多情的龙龙, 哦啊, 38878, 53962, 1, 2019-12-02 21:11:25, Group_2
101, 423046_1006, 188, 30, 3, 逆天之番茄, 0, 9487, 13429, 0, 2019-12-04 01:10:28, Group_3
102, 431003_1006, 174, 35, 3, 之小怪兽, 神話, 27814, 41242, 0, 2019-12-02 06:25:12, Group_2
103, 435836_1006, 168, 41, 3, 月亮?组合, 八神超玩会, 52224, 72047, 0, 2019-12-04 00:18:24, Group_3
104, 292705_1006, 164, 24, 3, 兴奋之强盗, 不知火舞, 13600, 17152, 0, 2019-11-26 19:35:01, Group_2
105, 433525_1006, 164, 42, 3, 大惡司, 祖师殿, 45599, 68096, 0, 2019-12-04 00:13:26, Group_2
106, 424846_1006, 162, 34, 3, 野蛮丶青青, 0, 22504, 29751, 0, 2019-12-01 14:51:22, Group_4
107, 424820_1006, 162, 39, 3, 爆个碧萝妹, 强撸, 39203, 50979, 0, 2019-12-03 19:11:59, Group_4
108, 420904_1006, 162, 42, 3, 耀眼灬围观党, 高数, 57421, 75852, 0, 2019-12-04 01:54:44, Group_4
109, 427463_1006, 162, 41, 3, 深圳最靓的仔, 高数, 42581, 52484, 0, 2019-12-04 02:23:18, Group_4
110, 83737_1006, 160, 27, 3, 二狗, 不知火舞, 15704, 20210, 0, 2019-11-27 10:02:43, Group_2
111, 272773_1006, 156, 32, 3, 丶酒徒, 你还是不是男, 17820, 24028, 0, 2019-11-29 08:52:04, Group_4
112, 433116_1006, 156, 40, 3, 大胆丶魔王, 大蛇无双, 39169, 51851, 0, 2019-12-02 09:36:34, Group_2
113, 420744_1006, 156, 36, 3, 鱼丸, 哦啊, 25993, 36717, 0, 2019-12-04 02:34:34, Group_2
114, 435249_1006, 156, 37, 3, 狂野丨哈密瓜, 天神主宰、, 32869, 46694, 0, 2019-12-03 20:15:09, Group_1
115, 431607_1006, 156, 42, 3, 二次元丨, 八神超玩会, 50611, 72040, 0, 2019-12-03 23:26:00, Group_3
116, 431619_1006, 156, 42, 3, 帅气丶总督, 名人堂, 55227, 79859, 0, 2019-12-03 23:56:10, Group_1
117, 435773_1006, 156, 39, 3, 进击丶天秤座, 我问心无愧, 37816, 53918, 0, 2019-12-03 18:08:39, Group_2
118, 391193_1006, 154, 40, 3, _小美女, 玉天宗, 38198, 52699, 0, 2019-12-03 21:46:37, Group_2
119, 422697_1006, 154, 38, 3, 傲娇丶毅哥, 玉天宗, 29732, 50177, 0, 2019-12-03 21:33:27, Group_2
120, 5363_1006, 154, 43, 3, 野蛮, 强撸, 48005, 66412, 0, 2019-12-04 03:16:08, Group_4
121, 424468_1006, 150, 40, 3, 音乐家, 水火不容, 43043, 59755, 0, 2019-12-03 17:35:55, Group_4
122, 431366_1006, 150, 41, 3, 绥棱刘德华, 高数, 41214, 54060, 0, 2019-12-03 21:24:58, Group_4
123, 430287_1006, 150, 36, 3, 骄傲X强哥, 冷眸, 32369, 46239, 0, 2019-12-03 12:43:03, Group_1
124, 430228_1006, 150, 40, 3, 困倦X德古拉, 04, 41908, 61484, 0, 2019-12-03 20:25:28, Group_2
125, 431249_1006, 150, 42, 3, 残暴丶宅男, 刘新宇潘爽, 52060, 73102, 0, 2019-12-04 00:29:07, Group_3
126, 303668_1006, 148, 41, 3, 精明丶燕燕, 白竹, 42929, 57216, 0, 2019-12-03 10:01:59, Group_3
127, 430526_1006, 144, 41, 3, 时髦之嬉皮士, 大蛇无双, 47264, 60854, 0, 2019-12-03 23:14:37, Group_2
128, 430547_1006, 144, 37, 3, 大蛇, 鬼族, 35827, 51901, 0, 2019-12-02 23:21:29, Group_4
129, 421972_1006, 144, 42, 3, _小虾米, 名人堂, 49383, 75356, 0, 2019-12-03 22:53:07, Group_1
130, 430084_1006, 142, 41, 3, 调皮丶小虾米, 南风, 40178, 52639, 0, 2019-12-03 23:52:56, Group_2
131, 422352_1006, 138, 39, 3, 时髦的浩浩, 南风, 34112, 46192, 1, 2019-12-04 04:17:20, Group_2
132, 427208_1006, 138, 41, 3, 蘼觞, 不知火舞, 44904, 56161, 0, 2019-12-03 12:59:49, Group_2
133, 180628_1006, 138, 42, 3, 拳头, 鬼族, 39837, 59000, 0, 2019-12-04 00:42:02, Group_4
134, 430353_1006, 138, 42, 3, 天下乌鸦一般黑, 八神超玩会, 53312, 77982, 0, 2019-12-03 18:29:57, Group_3
135, 425073_1006, 138, 42, 3, 绿叶的狼王, 高数, 53441, 80631, 0, 2019-12-03 22:44:18, Group_4
136, 424273_1006, 132, 41, 3, 老姜, 玉天宗, 49354, 69156, 0, 2019-12-04 02:56:00, Group_2
137, 430652_1006, 132, 38, 3, 旧尘, 刚刚, 35786, 54743, 0, 2019-12-04 01:44:22, Group_1
138, 428067_1006, 132, 38, 3, 可爱_蜀黍, 洗洗睡, 28220, 42127, 0, 2019-12-04 02:45:22, Group_2
139, 105329_1006, 132, 42, 3, 湮灭, 梦之队, 42031, 58725, 0, 2019-12-03 23:58:18, Group_4
140, 424599_1006, 130, 41, 3, Golden, 名人堂, 41722, 60614, 0, 2019-12-03 22:47:48, Group_1
141, 431478_1006, 128, 33, 3, 动人丶狼族, 八神魔, 20632, 27794, 0, 2019-11-29 18:13:37, Group_2
142, 434155_1006, 128, 31, 3, 坚强X狼女, 魔门, 17103, 23055, 0, 2019-11-28 18:13:03, Group_4
143, 428368_1006, 126, 40, 3, 秀逗丶午夜党, 高数, 36129, 52150, 0, 2019-12-03 23:06:10, Group_4
144, 424632_1006, 126, 42, 3, 狼道, 玉天宗, 53042, 75351, 0, 2019-12-04 03:07:59, Group_2
145, 431591_1006, 126, 38, 3, 活跃之宸宸, 小乐乐, 37374, 53000, 0, 2019-12-03 00:28:34, Group_1
146, 365536_1006, 126, 40, 3, 心碎_黑道, 狼王兄弟军团, 36872, 54765, 0, 2019-12-03 23:49:14, Group_3
147, 424643_1006, 124, 28, 3, 坦荡爱美人, 不知火舞, 14948, 18442, 0, 2019-11-27 08:48:24, Group_2
148, 422918_1006, 124, 37, 3, 高傲灬小舞, 八神魔, 23499, 37955, 0, 2019-12-03 19:54:24, Group_2
149, 428609_1006, 120, 34, 3, 幸运灬八酱, 白竹, 19777, 28746, 0, 2019-12-01 09:56:50, Group_3
150, 434023_1006, 120, 38, 3, 失常丶太阳, 快快乐乐, 34162, 46643, 0, 2019-12-03 18:15:44, Group_1
151, 421098_1006, 120, 43, 3, 悲伤_狼人, 梦之队, 45865, 69908, 0, 2019-12-04 02:38:21, Group_4
152, 430699_1006, 120, 41, 3, 强硬的烙印者, 嘻嘻, 39956, 51467, 0, 2019-12-03 21:39:48, Group_1
153, 430883_1006, 120, 41, 3, 神圣丨草莓, 高数, 44442, 53017, 0, 2019-12-04 03:05:04, Group_4
154, 64044_1006, 118, 30, 3, 无语丶女仆, 0, 13561, 17050, 0, 2019-12-01 19:22:50, Group_4
155, 425472_1006, 114, 33, 3, Aaronxx, 不知火舞, 22228, 27460, 0, 2019-11-29 13:01:10, Group_2
156, 432761_1006, 114, 41, 3, 唏嘘丶酒徒, 八神超玩会, 42264, 60407, 0, 2019-12-03 12:11:09, Group_3
157, 433122_1006, 114, 41, 3, 丶香蕉, 名人堂, 49109, 70575, 0, 2019-12-03 21:19:50, Group_1
158, 431584_1006, 114, 39, 3, 丶宅男, *坤, 35169, 46859, 0, 2019-12-02 14:08:21, Group_4
159, 433725_1006, 114, 41, 3, 黑暗灬狼王, 玉天宗, 44347, 63218, 0, 2019-12-03 21:09:59, Group_2
160, 424418_1006, 112, 41, 3, 残酷_, 咔咔咔, 41003, 55127, 0, 2019-12-03 14:52:40, Group_4
161, 214702_1006, 108, 34, 3, 无情丶, 白竹, 27801, 41857, 0, 2019-11-29 12:14:30, Group_3
162, 421487_1006, 108, 42, 3, 伤心总督, 梦之队, 49695, 67769, 0, 2019-12-03 21:50:04, Group_4
163, 421206_1006, 102, 35, 3, 重庆、吴彦祖, 0, 18342, 28398, 0, 2019-12-02 15:42:51, Group_3
164, 421329_1006, 102, 29, 3, 白竹, 白竹, 15144, 20996, 0, 2019-11-28 07:46:17, Group_3
165, 435443_1006, 102, 37, 3, 萧炎…, 祖师殿, 31308, 46023, 0, 2019-12-01 05:35:49, Group_2
166, 431983_1006, 102, 36, 3, 嚣张丶火炮, 我问心无愧, 22794, 33443, 0, 2019-12-01 16:31:58, Group_2
167, 432595_1006, 102, 32, 3, 无人问津丶, 刚刚, 20779, 30329, 0, 2019-12-03 22:59:01, Group_1
168, 420900_1006, 102, 42, 3, 名人堂｜老李, 名人堂, 51685, 79159, 0, 2019-12-04 04:26:10, Group_1
169, 433419_1006, 102, 41, 3, 回忆, 八神战队, 48768, 65760, 0, 2019-12-03 21:58:35, Group_2
170, 430822_1006, 102, 41, 3, 拔尖的企鹅, 南风, 45433, 61267, 0, 2019-12-03 22:27:21, Group_2
171, 432568_1006, 102, 42, 3, 蚊帐里的骑兵, 我问心无愧, 46481, 68399, 0, 2019-12-03 23:35:58, Group_2
172, 433123_1006, 98, 7, 2, 活跃丨国宝, 0, 2381, 2366, 0, 2019-11-26 12:45:26, 
173, 424381_1006, 96, 29, 3, 寂寞, 0, 14980, 19265, 0, 2019-11-27 22:01:07, Group_1
174, 424011_1006, 96, 42, 3, 妹哥来自广东, 玉天宗, 50039, 66618, 0, 2019-12-04 00:48:18, Group_2
175, 424607_1006, 96, 41, 3, 石鼓仔, 白竹, 37715, 53117, 0, 2019-12-03 23:57:49, Group_3
176, 411258_1006, 96, 41, 3, 面瘫, 玉天宗, 47124, 63380, 0, 2019-12-03 21:19:40, Group_2
177, 431527_1006, 96, 36, 3, 沉默丶, 鬼族, 26145, 36106, 0, 2019-12-02 21:59:10, Group_4
178, 426175_1006, 96, 40, 3, 无趣的, 祖师殿, 35675, 54795, 0, 2019-12-03 10:07:44, Group_2
179, 382811_1006, 96, 40, 3, 拔尖丶, 你还是不是男, 31569, 42299, 0, 2019-12-04 00:08:22, Group_4
180, 429811_1006, 96, 41, 3, 霸气X魔蝎座, 八神魔, 40130, 58055, 0, 2019-12-03 19:06:52, Group_2
181, 427758_1006, 96, 42, 3, 啊孤, 八神超玩会, 48841, 66068, 0, 2019-12-04 00:44:38, Group_3
182, 424285_1006, 96, 39, 3, 牛马会长, 哦啊, 38553, 56806, 0, 2019-12-03 19:05:07, Group_2
183, 422443_1006, 96, 42, 3, 丨德古拉, 名人堂, 49008, 71665, 0, 2019-12-04 04:48:10, Group_1
184, 435733_1006, 96, 41, 3, 丶栗子, 八神超玩会, 44972, 63614, 0, 2019-12-04 02:09:35, Group_3
185, 427427_1006, 96, 42, 3, 打鸣的大几几, 名人堂, 51644, 71776, 0, 2019-12-04 03:01:04, Group_1
186, 422233_1006, 94, 20, 2, 浑厚灬帅帅, 0, 3887, 4459, 0, 2019-11-29 16:28:04, Group_4
187, 422893_1006, 90, 24, 2, 帅气复读机, 0, 14406, 18471, 0, 2019-11-26 13:02:35, Group_4
188, 426263_1006, 90, 23, 2, 凹凸曼, 0, 8205, 10077, 0, 2019-11-26 23:15:47, Group_4
189, 434706_1006, 90, 25, 2, 动人X浩浩, 八尺琼楼, 11575, 13516, 0, 2019-11-27 00:01:24, Group_3
190, 424400_1006, 90, 32, 2, 折翼的猴王, 风风??飍飍, 20433, 29563, 0, 2019-11-29 10:04:51, Group_2
191, 428503_1006, 90, 42, 3, 好强之飞飞, 高数, 48084, 63862, 0, 2019-12-04 00:11:05, Group_4
192, 429723_1006, 90, 34, 3, 折翼斗士, 5, 26249, 34606, 0, 2019-11-30 12:08:14, Group_4
193, 427695_1006, 90, 40, 3, 小浪, 白竹, 36120, 55147, 0, 2019-12-03 20:43:24, Group_3
194, 430839_1006, 90, 42, 3, 赵兄, 玉天宗, 50230, 73362, 0, 2019-12-04 00:23:39, Group_2
195, 431681_1006, 90, 41, 3, 爽直X哈密瓜, 冠军?, 43867, 64945, 0, 2019-12-04 02:00:48, Group_1
196, 433165_1006, 90, 39, 3, 耀眼灬狮子座, 小乐乐, 38136, 56425, 0, 2019-12-03 21:33:20, Group_1
197, 429619_1006, 90, 42, 3, 克里斯, 名人堂, 53137, 77768, 0, 2019-12-04 00:43:22, Group_1
198, 422711_1006, 88, 10, 2, 大胆丶总旗, 0, 3000, 3369, 0, 2019-11-26 08:25:41, 
199, 418455_1006, 88, 23, 2, 绝望_, 鬼族, 11200, 13643, 0, 2019-11-26 17:06:33, Group_4
200, 428659_1006, 88, 39, 3, 幽默小怪兽, 八尺琼楼, 25556, 41821, 0, 2019-12-03 23:08:13, Group_3
201, 420440_1006, 84, 23, 2, 空虚的大菠萝, 水花兄弟, 9050, 11174, 0, 2019-11-26 23:23:00, Group_1
202, 429633_1006, 84, 40, 3, 凶悍_凌凌漆, uuu, 34396, 51562, 0, 2019-12-03 22:26:58, Group_3
203, 423020_1006, 84, 41, 3, 怒指乾坤错, 八神超玩会, 39587, 61822, 0, 2019-12-03 20:21:44, Group_3
204, 430813_1006, 84, 41, 3, 八咫乌, 名人堂, 40486, 61870, 0, 2019-12-04 00:29:38, Group_1
205, 435674_1006, 84, 40, 3, 惆怅丶达人, 烈焰, 37141, 55991, 0, 2019-12-03 17:30:03, Group_2
206, 421872_1006, 84, 42, 3, 优秀, 名人堂, 51408, 68882, 0, 2019-12-03 21:15:58, Group_1
207, 431921_1006, 84, 42, 3, 纠结灬狼族, 名人堂, 44847, 69872, 0, 2019-12-03 23:13:31, Group_1
208, 427430_1006, 84, 40, 3, 祖安狂人, 刚刚, 43886, 63346, 0, 2019-12-04 00:19:07, Group_1
209, 436016_1006, 78, 29, 2, 丢妮西姑大姐嗨, Hakuna, 15752, 21105, 0, 2019-11-27 18:58:35, Group_4
210, 426971_1006, 78, 41, 3, 纠结之肥皂, 你还是不是男, 42701, 59415, 0, 2019-12-03 22:40:41, Group_4
211, 432283_1006, 78, 39, 3, 天道, 水花兄弟, 28080, 38065, 0, 2019-12-04 02:24:17, Group_1
212, 430630_1006, 78, 39, 3, 逍遥丶女仆, 白竹, 36966, 49845, 0, 2019-12-03 16:35:43, Group_3
213, 432075_1006, 78, 40, 3, 逍遥大魔王, 水花兄弟, 36821, 58097, 0, 2019-12-03 23:10:05, Group_1
214, 429924_1006, 78, 36, 2, 勇猛灬, 水花兄弟, 22681, 31242, 0, 2019-12-02 21:25:34, Group_1
215, 425031_1006, 72, 28, 2, 虎鳕鲸, 兄弟团, 11750, 14928, 0, 2019-11-29 09:02:04, Group_1
216, 424626_1006, 72, 40, 3, 长寿丨小元, 八尺琼楼, 37849, 54142, 0, 2019-12-03 16:17:03, Group_3
217, 426260_1006, 72, 39, 3, 爽快灬白富美, 汇编成册不会, 34175, 53077, 0, 2019-12-03 19:09:09, Group_3
218, 294905_1006, 66, 23, 2, 镇定丨红帽, killer, 11508, 13432, 0, 2019-11-26 20:49:04, Group_3
219, 430579_1006, 66, 24, 2, 骄横_, 南风, 9729, 11977, 0, 2019-11-26 17:49:57, Group_2
220, 433548_1006, 66, 28, 2, 草雞, 强烈队伍, 14797, 21445, 0, 2019-11-27 12:49:14, Group_2
221, 434646_1006, 66, 30, 2, 得意丨凌凌漆, killer, 13096, 15256, 0, 2019-11-28 13:07:43, Group_3
222, 423294_1006, 66, 31, 2, 传说丶, 0, 12588, 16154, 0, 2019-11-30 10:58:12, Group_3
223, 421177_1006, 66, 34, 2, 偶系渣渣灰, 八神魔, 23886, 32276, 0, 2019-11-29 23:58:16, Group_2
224, 431359_1006, 66, 38, 2, 素颜丶, 八神超玩会, 30213, 37944, 0, 2019-12-03 21:00:43, Group_3
225, 430956_1006, 66, 40, 2, 野蛮_伪装者, 八神超玩会, 41185, 60134, 0, 2019-12-03 23:29:07, Group_3
226, 417063_1006, 66, 40, 2, 散漫丶小清新, 04, 36176, 48836, 0, 2019-12-03 23:23:32, Group_2
227, 427036_1006, 60, 27, 2, 恶魔, 祖师殿, 13246, 19617, 0, 2019-11-27 23:32:19, Group_2
228, 416416_1006, 60, 20, 2, 九度, 0, 8187, 9691, 0, 2019-11-26 11:37:26, Group_3
229, 392964_1006, 60, 30, 2, 左耳星, 0, 13632, 17586, 0, 2019-11-28 10:27:04, Group_2
230, 417721_1006, 60, 34, 2, 好强之电猫, 汇编成册不会, 16639, 21625, 0, 2019-12-01 19:03:49, Group_3
231, 306771_1006, 60, 23, 2, 丨火炮, 0, 8644, 9346, 0, 2019-11-26 18:51:57, Group_1
232, 422561_1006, 60, 28, 2, 空虚的战神, 汇编成册不会, 13996, 18704, 0, 2019-11-29 22:27:58, Group_3
233, 425167_1006, 60, 42, 2, 动人丨帅锅, 温文儒雅, 38013, 54443, 0, 2019-12-03 21:14:34, Group_3
234, 425422_1006, 60, 26, 2, 孤独丶, 天神主宰、, 11846, 15115, 0, 2019-11-27 07:23:22, Group_1
235, 434903_1006, 60, 40, 2, 夜風, 八神魔, 30524, 47740, 0, 2019-12-03 22:10:28, Group_2
236, 389338_1006, 60, 41, 2, 1992, 来吧！, 40984, 60320, 0, 2019-12-03 22:14:54, Group_3
237, 431971_1006, 60, 42, 2, 爆炸脑壳, 黑夜降临, 34560, 55528, 0, 2019-12-03 20:25:54, Group_3
238, 433424_1006, 60, 41, 2, *牛, 八神超玩会, 43338, 61273, 0, 2019-12-04 01:08:01, Group_3
239, 421348_1006, 60, 41, 2, 圆滑的灰机, *坤, 37388, 54182, 0, 2019-12-03 22:18:23, Group_4
240, 422326_1006, 60, 42, 2, 大方之红领巾, 刘新宇潘爽, 48599, 71558, 0, 2019-12-04 01:36:03, Group_3
241, 429759_1006, 60, 42, 2, 凌乱灬小帅哥, 高数, 47370, 69095, 0, 2019-12-03 19:17:04, Group_4
242, 431880_1006, 60, 40, 2, 流云丶, 玉天宗, 38334, 54600, 0, 2019-12-04 00:59:25, Group_2
243, 428007_1006, 60, 42, 2, 方鑫鑫鑫鑫鑫, 八神超玩会, 41212, 55710, 0, 2019-12-03 23:02:28, Group_3
244, 434227_1006, 60, 42, 2, 打打打打劫, 名人堂, 50730, 71628, 0, 2019-12-03 22:41:01, Group_1
245, 436053_1006, 60, 42, 2, 开心灬小妞, 名人堂, 50994, 79217, 0, 2019-12-03 21:48:55, Group_1
246, 429964_1006, 60, 37, 2, 我是***, 不知火舞, 24164, 38416, 0, 2019-12-03 13:01:56, Group_2
247, 423976_1006, 60, 40, 2, 诉影, 乐神, 36880, 54461, 0, 2019-12-03 21:53:37, Group_1
248, 424969_1006, 60, 41, 2, 妖霸, 天神主宰、, 44449, 65859, 0, 2019-12-03 23:14:53, Group_1
249, 430925_1006, 60, 42, 2, 绝世武功, *坤, 44199, 66038, 0, 2019-12-04 04:10:47, Group_4
250, 428448_1006, 54, 25, 2, 亮眼灬斯巴达, 0, 13325, 13971, 0, 2019-11-26 22:55:28, Group_3
251, 415361_1006, 54, 34, 2, 嘻哈X小黄瓜, 0, 28029, 37639, 0, 2019-11-29 14:40:41, Group_1
252, 423145_1006, 54, 39, 2, 大胆_阳阳, 天神主宰、, 33467, 45834, 0, 2019-12-01 21:58:58, Group_1
253, 432901_1006, 54, 42, 2, 社会你轩哥, 八神超玩会, 47699, 64848, 0, 2019-12-03 23:36:11, Group_3
254, 434655_1006, 54, 41, 2, 万般皆可盘, 高数, 39105, 52216, 0, 2019-12-04 02:03:01, Group_4
255, 435026_1006, 54, 41, 2, 冰帝灬之星, killer, 41898, 58144, 0, 2019-12-04 01:17:15, Group_3
256, 433518_1006, 54, 41, 2, 往事随风, 玉天宗, 46341, 66389, 0, 2019-12-03 23:15:33, Group_2
257, 428682_1006, 54, 40, 2, 乐观丨火神, killer, 38030, 52649, 0, 2019-12-03 23:52:01, Group_3
258, 429993_1006, 54, 41, 2, 犀利之草莓, 神話, 34981, 51047, 0, 2019-12-03 23:44:39, Group_2
259, 424682_1006, 54, 41, 2, 野*, 汇编成册不会, 40202, 51744, 0, 2019-12-03 13:03:28, Group_3
260, 425573_1006, 54, 41, 2, 苏格灬烈, 玉天宗, 39254, 53363, 0, 2019-12-03 23:10:31, Group_2
261, 429038_1006, 54, 37, 2, 狂热_, 04, 30407, 45175, 0, 2019-12-04 01:13:31, Group_2
262, 432671_1006, 54, 38, 2, 过把感情瘾, killer, 35966, 48762, 0, 2019-12-03 15:36:41, Group_3
263, 427439_1006, 48, 34, 2, 孤独，行者, 南风, 26420, 39768, 0, 2019-11-29 10:46:12, Group_2
264, 429747_1006, 48, 35, 2, 野蛮丨洛神, RAT, 29389, 38968, 0, 2019-11-29 14:10:35, Group_1
265, 435770_1006, 48, 40, 2, 郝有肉丶, 神話, 38711, 54930, 0, 2019-12-03 15:58:45, Group_2
266, 423414_1006, 48, 24, 2, 逆袭丨哈密瓜, 0, 8987, 11040, 0, 2019-11-29 00:00:00, Group_2
267, 432256_1006, 48, 41, 2, 七杀丶飞, 0, 35649, 48591, 0, 2019-12-03 20:50:33, Group_2
268, 435477_1006, 48, 37, 2, 自傲X, 水花兄弟, 23302, 33680, 1, 2019-12-03 22:42:19, Group_1
269, 434492_1006, 48, 31, 2, 艾夏拉, 你还是不是男, 17554, 22153, 0, 2019-11-29 13:18:03, Group_4
270, 422933_1006, 48, 33, 2, 帅气_汉子, 1, 20593, 28344, 0, 2019-11-30 10:56:58, Group_4
271, 95138_1006, 48, 37, 2, 痞子冰, 南风, 23780, 37062, 0, 2019-12-03 12:35:43, Group_2
272, 431519_1006, 48, 31, 2, 残忍之龙哥, 魔门, 18380, 23509, 0, 2019-11-30 19:56:43, Group_4
273, 384820_1006, 48, 40, 2, 热情灬路路, 我问心无愧, 34743, 49008, 0, 2019-12-03 19:09:48, Group_2
274, 433557_1006, 48, 35, 2, 素颜_晗晗, *坤, 23665, 33547, 0, 2019-12-03 11:38:37, Group_4
275, 423949_1006, 48, 33, 2, 丶静音, 哦啊, 15844, 23676, 0, 2019-12-03 23:01:37, Group_2
276, 426790_1006, 42, 25, 2, 林哥, 不知火舞, 13412, 15858, 0, 2019-11-27 10:24:55, Group_2
277, 162199_1006, 42, 24, 2, 活跃丨小红帽, 0, 11099, 11033, 0, 2019-11-26 12:10:07, Group_3
278, 433648_1006, 42, 24, 2, 调皮之哈密瓜, 0, 12577, 14562, 0, 2019-11-26 16:35:22, Group_4
279, 427988_1006, 42, 31, 2, 水滴丨红狼, 祖师殿, 17467, 22215, 0, 2019-11-28 11:06:06, Group_2
280, 431536_1006, 42, 38, 2, 狂野战, 高数, 36041, 47870, 0, 2019-12-02 12:15:50, Group_4
281, 426473_1006, 42, 42, 2, 那一夜De温柔, 八神超玩会, 45463, 68959, 0, 2019-12-03 23:12:56, Group_3
282, 90346_1006, 42, 42, 2, 元气X铁拳, 梦之队, 40261, 60306, 0, 2019-12-04 02:08:58, Group_4
283, 426500_1006, 42, 40, 2, 黑粗长硬, 温文儒雅, 34127, 52717, 0, 2019-12-03 21:15:41, Group_3
284, 405166_1006, 42, 40, 2, 虚无缥缈, 水火不容, 35797, 55081, 0, 2019-12-03 20:33:53, Group_4
285, 423591_1006, 42, 36, 2, 快活的, 哦啊, 27438, 42207, 0, 2019-12-03 08:18:11, Group_2
286, 431674_1006, 42, 40, 2, 高傲_二娃, 大蛇无双, 38508, 54704, 0, 2019-12-04 00:23:17, Group_2
287, 428515_1006, 42, 39, 2, 要你命三千, uuu, 36011, 55654, 0, 2019-12-03 09:16:17, Group_3
288, 422772_1006, 42, 39, 2, 倾城, 千鹤乱舞, 34407, 46515, 0, 2019-12-03 07:34:05, Group_1
289, 421109_1006, 36, 28, 2, 摩登丶洛神, 0, 11722, 14801, 0, 2019-11-28 00:50:13, Group_1
290, 421596_1006, 36, 25, 2, 哀伤之正太控, 刘新宇潘爽, 12575, 14719, 0, 2019-11-26 22:30:20, Group_3
291, 249270_1006, 36, 41, 2, 夜生活, 天神主宰、, 38995, 48928, 0, 2019-12-03 09:05:30, Group_1
292, 424948_1006, 36, 33, 2, 散漫_正太控, 八神庵, 13216, 16561, 0, 2019-12-03 08:36:07, Group_3
293, 428494_1006, 36, 24, 2, 彪悍丶, 0, 11914, 13630, 0, 2019-11-26 14:09:04, Group_3
294, 399141_1006, 36, 24, 2, kiss落幕, 0, 10767, 13435, 0, 2019-11-26 14:09:50, Group_1
295, 419048_1006, 36, 29, 2, 缘来丶系妳, 不知火舞, 15316, 19244, 0, 2019-11-27 15:26:03, Group_2
296, 428901_1006, 36, 40, 2, 狡猾X手残党, 5, 32958, 47668, 0, 2019-12-03 16:11:50, Group_4
297, 434864_1006, 36, 34, 2, 泪奔_欧巴, 强烈队伍, 21412, 29332, 0, 2019-12-02 07:03:59, Group_2
298, 430767_1006, 36, 36, 2, 未来领主, uuu, 24499, 37902, 0, 2019-12-03 20:12:04, Group_3
299, 432291_1006, 36, 25, 2, 粗鲁之桐桐, 南风, 13198, 14316, 0, 2019-11-26 22:50:29, Group_2
300, 428455_1006, 36, 28, 2, 大蛇的*老蛇, 1, 12683, 15904, 0, 2019-11-28 22:44:10, Group_4
301, 421010_1006, 36, 42, 2, 暗黑｜双子座, 刘新宇潘爽, 39526, 57788, 0, 2019-12-03 22:14:01, Group_3
302, 431517_1006, 36, 25, 2, 野蛮_白羊座, 南风, 13463, 16794, 0, 2019-11-27 00:11:08, Group_2
303, 421735_1006, 36, 37, 2, 火暴_, 撕裂, 23820, 37356, 0, 2019-12-03 07:51:04, Group_3
304, 429197_1006, 36, 36, 2, 孤独丶签到党, 1, 18312, 24869, 0, 2019-12-02 12:32:59, Group_4
305, 422633_1006, 36, 24, 2, 贪睡灬总裁, 0, 10539, 13913, 0, 2019-11-27 05:00:29, Group_1
306, 423015_1006, 36, 35, 2, 罪魁祸首, 梦之队, 25616, 33335, 0, 2019-12-01 22:37:24, Group_4
307, 432325_1006, 36, 39, 2, 迷人丨女仆, 狼王兄弟军团, 30014, 45892, 0, 2019-12-03 09:10:33, Group_3
308, 431621_1006, 36, 30, 2, 幸运灬马甲, 水花兄弟, 15226, 23933, 0, 2019-11-28 07:43:47, Group_1
309, 428631_1006, 36, 32, 2, 厉害的人, 不知火舞, 19293, 26656, 0, 2019-11-28 20:27:18, Group_2
310, 431833_1006, 36, 33, 2, 之红人, 04, 16839, 25037, 0, 2019-12-03 08:52:28, Group_2
311, 431378_1006, 36, 39, 2, 小叮当, 来吧！, 31551, 45702, 0, 2019-12-03 09:35:32, Group_3
312, 427312_1006, 36, 42, 2, 得意之天才, 04, 45988, 64593, 0, 2019-12-03 22:19:49, Group_2
313, 435945_1006, 36, 40, 2, 疯狂_手抓饼, 快快乐乐, 34100, 45605, 0, 2019-12-03 19:23:27, Group_1
314, 428012_1006, 36, 41, 2, 中二灬手残党, 南风, 39206, 55525, 0, 2019-12-03 23:24:33, Group_2
315, 228105_1006, 36, 38, 2, 骄傲丶红风, 刘新宇潘爽, 31170, 50332, 0, 2019-12-04 02:07:26, Group_3
316, 427547_1006, 36, 38, 2, 幽默之, 八神战队, 36792, 54640, 0, 2019-12-03 17:34:41, Group_2
317, 435305_1006, 36, 30, 2, 殇。, 玉天宗, 15109, 17313, 0, 2019-12-03 11:07:54, Group_2
