         MD LLA(mA)   LLS(ohm*m)  MSFL(ohm*m)    LLD(ohm*m)  AR(ohm*m)   devi(deg)   Azi(deg)    GR(API)     GPA(pA/kg)  SP(mV)
       93.05      1757          71         0.7086     70.8594      1.8504        0.47       237.2     42.6667      0.7211    -73.7778
        93.1      1741          73          0.726      72.602      1.8609        0.48       237.4          42      0.7098         -74
       93.15      1716          75         0.7453     74.5338      1.8724        0.49       237.6     41.2778      0.6976    -74.2222
        93.2      1705          75         0.7554     75.5425      1.8782        0.49       238.1     40.4444      0.6835    -74.4443
       93.25      1710          75          0.755     75.4971      1.8779        0.49       238.3     39.7778      0.6722    -74.6667
        93.3      1713          75          0.756     75.5984      1.8785        0.47         238     39.1667      0.6619    -74.8889
       93.35      1717          75         0.7548     75.4805      1.8778        0.44       237.1     38.6667      0.6535         -75
        93.4      1724          75         0.7541      75.406      1.8774        0.42         236     38.3889      0.6488    -75.1111
       93.45      1723          76         0.7586     75.8561        1.88        0.42       235.4        38.5      0.6506    -75.3333
        93.5      1722          77         0.7666     76.6551      1.8845        0.41       234.7     38.8333      0.6563    -75.4443
       93.55      1703          82         0.7939     79.3893      1.8998        0.38       233.7     39.3333      0.6647    -75.7778
        93.6      1649          87         0.8435     84.3542      1.9261        0.37       233.5     40.0556      0.6769         -76
       93.65      1597          89         0.8867     88.6662      1.9478        0.36       233.4     40.8333      0.6901    -76.2222
        93.7      1574          88         0.9003     90.0254      1.9544        0.35       233.4     41.6111      0.7032    -76.1111
       93.75      1586          84         0.8808     88.0832      1.9449        0.34       233.5     42.4444      0.7173    -75.6667
        93.8      1630          81         0.8405     84.0491      1.9245        0.33       234.4     43.0556      0.7276    -75.2222
       93.85      1675          80         0.8096     80.9552      1.9082        0.34       235.7     43.5556      0.7361    -74.8889
        93.9      1691          80         0.8031     80.3075      1.9048        0.36       236.8     43.9444      0.7427    -74.4443
       93.95      1680          81         0.8143     81.4286      1.9108        0.36       238.5     44.2222      0.7474         -74
          94      1668          82         0.8237     82.3741      1.9158        0.35       239.6     44.3333      0.7492    -73.5557
       94.05      1668          80         0.8207     82.0743      1.9142        0.35       241.6     44.1667      0.7464         -73
        94.1      1686          80         0.8078     80.7829      1.9073        0.36       243.4     43.9444      0.7427    -72.6667
       94.15      1693          81          0.808     80.8033      1.9074        0.35       245.9     43.7222      0.7389    -72.5557
        94.2      1678          82         0.8224     82.2408      1.9151        0.35       247.8     43.5556      0.7361    -72.4443
       94.25      1666          81         0.8295     82.9532      1.9188        0.35       250.2     43.7778      0.7398    -72.5557
        94.3      1678          79         0.8141     81.4064      1.9107        0.35       251.9          44      0.7436    -72.5557
       94.35      1704          75         0.7858     78.5798      1.8953        0.35       253.1     44.1667      0.7464    -72.2222
        94.4      1748          72         0.7489     74.8856      1.8744        0.35       255.2     44.3333      0.7492    -72.2222
       94.45      1796          71         0.7194     71.9376       1.857        0.36       256.9     44.2222      0.7474    -72.1111
        94.5      1806          73          0.722     72.2038      1.8586        0.36       258.3     44.1667      0.7464         -72
       94.55      1764          76         0.7534     75.3401       1.877        0.36       260.3     44.1111      0.7455    -71.7778
        94.6      1738          76         0.7687       76.87      1.8858        0.35       261.9     44.0556      0.7445    -71.4443
       94.65      1737          74         0.7617     76.1658      1.8818        0.36       263.3     43.9444      0.7427    -71.1111
        94.7      1758          71         0.7389     73.8908      1.8686        0.37       263.4     43.6111       0.737    -70.7778
       94.75      1792          68         0.7081     70.8147      1.8501        0.37       263.6     43.2778      0.7314    -70.6667
        94.8      1831          66         0.6794      67.941      1.8321        0.38         264     42.8333      0.7239    -70.6667
       94.85      1857          65         0.6602     66.0205      1.8197        0.38       264.1     42.1667      0.7126    -70.5557
        94.9      1874          64         0.6499     64.9947      1.8129        0.38       263.8     41.8333       0.707    -70.4443
       94.95      1877          65           0.65     64.9973      1.8129        0.38       263.7     41.5556      0.7023    -70.3333
          95      1865          65         0.6563       65.63      1.8171        0.38       262.9     41.3889      0.6995    -70.2222
       95.05      1858          65         0.6572     65.7158      1.8177        0.38         262     41.3333      0.6985    -70.3333
        95.1      1865          65         0.6547     65.4692       1.816        0.38       260.3     41.2778      0.6976    -70.4443
       95.15      1854          68         0.6677     66.7745      1.8246        0.39       259.6     41.2778      0.6976    -70.5557
        95.2      1822          70          0.691     69.0999      1.8395        0.39       259.8     41.2778      0.6976    -70.7778
       95.25      1791          71         0.7102     71.0218      1.8514        0.39       261.1     41.2778      0.6976    -71.1111
        95.3      1774          72         0.7227     72.2661      1.8589         0.4       262.1     41.6111      0.7032    -71.2222
       95.35      1757          74         0.7365     73.6483      1.8672         0.4       262.6     41.9444      0.7089    -71.3333
        95.4      1734          75         0.7514     75.1442      1.8759         0.4       262.8     42.3333      0.7154    -71.4443
       95.45      1722          76         0.7596     75.9582      1.8806         0.4       263.3     42.6111      0.7201    -71.4443
        95.5      1717          76         0.7618     76.1794      1.8818         0.4       264.1     42.7222       0.722    -71.3333
       95.55      1714          76         0.7643     76.4294      1.8833         0.4       265.5     42.8333      0.7239    -71.3333
        95.6      1706          78         0.7737      77.374      1.8886         0.4       266.7     43.0556      0.7276    -70.8889
       95.65      1685          81         0.7958     79.5846      1.9008         0.4       267.1     43.3333      0.7323    -70.1111
        95.7      1649          87         0.8363     83.6264      1.9223        0.39       267.2     43.3889      0.7333    -69.3333
       95.75      1578          92         0.8973     89.7338       1.953        0.39         267     43.3333      0.7323    -68.5557
        95.8      1522          93         0.9376     93.7582       1.972        0.39       266.2     43.2222      0.7305    -67.5557
       95.85      1516          89         0.9301     93.0079      1.9685        0.38       266.1          43      0.7267    -66.4443
        95.9      1549          85         0.8909     89.0897      1.9498        0.38       266.3     42.6667      0.7211    -65.2222
       95.95      1597          80         0.8416     84.1578      1.9251        0.37       267.1     42.3889      0.7164    -64.2222
          96      1650          76         0.7945     79.4545      1.9001        0.37       267.6     42.1111      0.7117    -63.1111
       96.05      1690          74         0.7615     76.1538      1.8817        0.37       268.3     41.8889      0.7079    -62.3333
        96.1      1720          71          0.736     73.6047      1.8669        0.37         269     42.1667      0.7126    -61.6667
       96.15      1751          69         0.7127     71.2736      1.8529        0.37       270.4     42.8889      0.7248    -61.2222
        96.2      1772          68         0.6981     69.8081      1.8439        0.37       271.9        43.5      0.7351    -60.7778
       96.25      1782          67         0.6891     68.9113      1.8383        0.38         273     44.2778      0.7483    -60.4443
        96.3      1793          66         0.6782     67.8193      1.8314        0.39       274.3     45.2778      0.7652    -60.1111
       96.35      1810          65         0.6641     66.4088      1.8222        0.39       275.1     46.4444      0.7849    -60.1111
        96.4      1826          64         0.6517     65.1698       1.814        0.39       276.4     47.6111      0.8046    -59.8889
       96.45      1836          63         0.6422     64.2157      1.8076        0.38       278.5     48.6111      0.8215    -59.7778
        96.5      1846          61         0.6306     63.0553      1.7997        0.39       279.5     49.3889      0.8347    -59.6667
       96.55      1864          61          0.617     61.6953      1.7903        0.39       279.8     49.8333      0.8422    -59.5557
        96.6      1873          61         0.6129      61.292      1.7874         0.4       279.4     50.0556      0.8459    -59.1111
       96.65      1852          63         0.6237      62.365      1.7949         0.4       278.8     50.1667      0.8478    -58.8889
        96.7      1802          65         0.6465     64.6504      1.8106         0.4       277.7     49.9444      0.8441    -58.8889
       96.75      1744          66          0.668     66.8005      1.8248        0.41       276.8     49.5556      0.8375         -59
        96.8      1700          67         0.6747     67.4706      1.8291        0.41       276.8     49.2778      0.8328    -58.8889
       96.85      1672          66         0.6734     67.3445      1.8283         0.4         277          49      0.8281    -58.8889
        96.9      1660          65         0.6614     66.1446      1.8205         0.4       277.4     48.8889      0.8262    -58.8889
       96.95      1649          65         0.6549     65.4942      1.8162        0.41       276.9     48.6111      0.8215    -58.8889
          97      1622          66         0.6591     65.9063      1.8189        0.41       275.5     48.0556      0.8121    -58.8889
       97.05      1583          66         0.6658     66.5824      1.8234        0.41         275     47.5556      0.8037    -59.1111
        97.1      1560          65         0.6628     66.2821      1.8214        0.41       274.5     47.2222      0.7981    -59.3333
       97.15      1542          65         0.6589     65.8885      1.8188        0.41       273.7     47.1111      0.7962    -59.4443
        97.2      1514          66         0.6605     66.0502      1.8199         0.4       273.2     46.9444      0.7934    -59.6667
       97.25      1485          66         0.6667     66.6667      1.8239        0.39       273.9     46.5556      0.7868    -59.8889
        97.3      1454          68         0.6768     67.6754      1.8304        0.38       275.1          46      0.7774    -60.1111
       97.35      1422          68         0.6857     68.5654      1.8361        0.38       276.1     45.3333      0.7661    -60.2222
        97.4      1411          68         0.6832     68.3203      1.8346        0.37       276.7     44.8889      0.7586    -60.4443
       97.45      1392          69         0.6882     68.8218      1.8377        0.36       277.4        44.5       0.752    -60.5557
        97.5      1347          72         0.7097     70.9725      1.8511        0.36       278.6     44.3333      0.7492    -60.5557
       97.55      1296          73         0.7323     73.2253      1.8647        0.35       280.1     44.8333      0.7577    -60.3333
        97.6      1258          74          0.744     74.4038      1.8716        0.34       280.3     45.5556      0.7699    -60.2222
       97.65      1236          74          0.746     74.5955      1.8727        0.32       280.9     46.4444      0.7849    -60.2222
        97.7      1215          75         0.7481     74.8148       1.874        0.32       281.4     47.6111      0.8046    -60.1111
       97.75      1185          75         0.7544      75.443      1.8776        0.32       280.3     49.1111        0.83    -59.8889
        97.8      1174          73         0.7513     75.1278      1.8758        0.32       276.5     50.9444       0.861    -59.8889
       97.85      1185          71         0.7325     73.2489      1.8648        0.32       273.7     52.9843      0.8954    -59.4443
        97.9      1207          68         0.7067     70.6711      1.8492        0.31       271.4          55      0.9295         -59
       97.95      1250          61          0.664        66.4      1.8222        0.31       269.1          57      0.9633    -58.3333
          98      1358          50         0.5751      57.511      1.7598        0.31       268.1        58.5      0.9886    -57.5557
       98.05      1526          38         0.4626     46.2647      1.6653        0.31       268.1     59.7778      1.0102    -56.7778
        98.1      1755          28         0.3453     34.5299      1.5382        0.31       268.3          61      1.0309    -55.6667
       98.15      2034          21         0.2498     24.9754      1.3975        0.31       268.6     62.1667      1.0506    -54.7778
        98.2      2205          18         0.2027     20.2721      1.3069        0.32       268.3     63.1667      1.0675    -53.7778
       98.25      2313          18         0.1842     18.4176      1.2652        0.31       268.6     63.9444      1.0807    -52.7778
        98.3      2334          18         0.1838     18.3805      1.2644        0.31       270.3     64.4444      1.0891         -52
       98.35      2296          19         0.1916     19.1638      1.2825         0.3       271.6     64.7222      1.0938    -51.3333
        98.4      2257          18         0.1936      19.362      1.2869         0.3       271.5     64.6111      1.0919    -50.7778
       98.45      2284          18         0.1848     18.4764      1.2666        0.31       270.5     64.2778      1.0863    -50.5557
        98.5      2316          18         0.1805     18.0484      1.2564        0.31       268.4     63.9444      1.0807    -50.2222
       98.55      2294          18         0.1831     18.3086      1.2627        0.31       265.2     63.7222      1.0769    -50.1111
        98.6      2287          17          0.181     18.1023      1.2577        0.32       261.1        63.5      1.0731    -50.1111
       98.65      2312          18         0.1795     17.9498      1.2541        0.33       257.1     63.2778      1.0694    -50.2222
        98.7      2281          19         0.1911     19.1144      1.2814        0.33       254.5     62.8889      1.0628    -50.2222
       98.75      2197          21         0.2071     20.7101      1.3162        0.34       252.1     62.4444      1.0553    -50.3333
        98.8      2143          21         0.2151     21.5119      1.3327        0.34       249.7     62.1667      1.0506    -50.4443
       98.85      2125          21         0.2151     21.5059      1.3326        0.35       245.7     62.3333      1.0534    -50.5557
        98.9      2126          19         0.2093     20.9313      1.3208        0.35       242.4     62.6667      1.0591    -50.6667
       98.95      2163          18         0.1988     19.8798      1.2984        0.34       238.2     63.0556      1.0656    -50.8889
          99      2213          18         0.1866     18.6624       1.271        0.34         235     63.2778      1.0694         -51
       99.05      2236          18         0.1838      18.381      1.2644        0.35       232.9     63.3333      1.0703    -51.1111
        99.1      2218          18         0.1867     18.6655       1.271        0.34         230     63.3333      1.0703    -51.2222
       99.15      2208          18         0.1866     18.6594      1.2709        0.33       227.2        63.5      1.0731    -51.3333
        99.2      2216          18         0.1859     18.5921      1.2693        0.31       223.7     63.6111       1.075    -51.4443
       99.25      2210          18         0.1878     18.7783      1.2737        0.31       221.4     63.7778      1.0778    -51.4443
        99.3      2194          18         0.1901     19.0064      1.2789         0.3       219.7     63.7778      1.0778    -51.4443
       99.35      2196          18         0.1885     18.8525      1.2754        0.28       217.7     63.7778      1.0778    -51.4443
        99.4      2210          18         0.1869     18.6878      1.2716        0.27       218.5        63.5      1.0731    -51.4443
       99.45      2210          19         0.1887     18.8688      1.2757        0.26       221.5     63.1111      1.0666    -51.4443
        99.5      2194          19         0.1951     19.5077      1.2902        0.25       225.4     62.7778      1.0609    -51.4443
       99.55      2153          21         0.2076     20.7617      1.3173        0.23       230.2     62.6111      1.0581    -51.4443
        99.6      2080          24         0.2284     22.8365      1.3586        0.22         233     62.3889      1.0544    -51.3333
       99.65      1985          25         0.2529     25.2897      1.4029         0.2       237.3     62.2222      1.0516    -51.3333
        99.7      1926          26         0.2669     26.6874      1.4263         0.2       241.1     61.8889      1.0459    -51.3333
       99.75      1910          25          0.266     26.5969      1.4248        0.22       244.6        61.5      1.0393    -51.4443
        99.8      1943          23         0.2532     25.3217      1.4035        0.25       248.1     60.8333      1.0281    -51.6667
       99.85      2000          22          0.237        23.7      1.3747        0.28       250.7     60.3333      1.0196    -51.7778
        99.9      2059          21         0.2224     22.2438      1.3472        0.29       253.4     59.9444      1.0131         -52
       99.95      2096          21         0.2147     21.4695      1.3318        0.29       258.6     59.7778      1.0102    -52.1111
         100      2116          20         0.2108     21.0775      1.3238        0.28       262.9     59.7222      1.0093    -52.1111
      100.05      2128          20         0.2082     20.8177      1.3184        0.28       265.6     59.7778      1.0102    -52.1111
       100.1      2133          19         0.2053     20.5345      1.3125        0.29       265.8     59.9444      1.0131    -51.8889
      100.15      2150          19         0.1991      19.907       1.299         0.3         266     60.2222      1.0178    -51.7778
       100.2      2187          18         0.1902     19.0215      1.2792        0.32         266        60.5      1.0224    -51.6667
      100.25      2229          18         0.1844     18.4388      1.2657        0.34       265.8     60.8333      1.0281    -51.3333
       100.3      2238          18         0.1863     18.6327      1.2703        0.36       265.6     61.1111      1.0328         -51
      100.35      2212          19         0.1948     19.4846      1.2897        0.37       266.1        61.5      1.0393    -50.7778
       100.4      2176          20         0.2036     20.3585      1.3087        0.41       266.3     61.5556      1.0403    -50.5557
      100.45      2153          21         0.2095     20.9475      1.3211        0.47         264     61.1667      1.0337    -50.4443
       100.5      2136          21         0.2172     21.7228      1.3369        0.52       238.8     60.5556      1.0234    -50.4443
      100.55      2114          22         0.2237     22.3746      1.3498        0.58       226.8     59.8889      1.0121    -50.4443
       100.6      2094          22         0.2287     22.8749      1.3594        0.66       215.5     59.2778      1.0018    -50.3333
      100.65      2082          22         0.2305     23.0548      1.3628        0.69         202     58.8889      0.9952    -50.3333
       100.7      2084          22         0.2289     22.8887      1.3596         0.7       195.3     58.6667      0.9915    -50.4443
      100.75      2091          22         0.2248     22.4773      1.3517        0.68       194.1     58.6111      0.9905    -50.4443
       100.8      2105          21         0.2204     22.0428      1.3433        0.67       193.2     58.4444      0.9877    -50.3333
      100.85      2126          20         0.2131     21.3076      1.3285        0.64       192.3     58.3889      0.9868    -50.2222
       100.9      2162          20         0.2049     20.4903      1.3115        0.57       191.1     58.3889      0.9868    -50.1111
      100.95      2179          20         0.2033     20.3304      1.3081        0.48         196     58.8333      0.9943         -50
         101      2160          21         0.2093     20.9259      1.3207        0.44       210.4     59.6111      1.0074         -50
      101.05      2130          22         0.2178      21.784      1.3381        0.39       227.2     60.5556      1.0234    -50.1111
       101.1      2101          22         0.2247     22.4655      1.3515        0.34       239.4     61.2778      1.0356    -50.2222
      101.15      2083          23           0.23     22.9957      1.3616        0.34       252.8     61.9444      1.0469    -50.2222
       101.2      2063          23         0.2356     23.5579      1.3721        0.35       259.2     62.2778      1.0525    -50.3333
      101.25      2045          24         0.2406     24.0587      1.3813        0.36       262.9     62.5556      1.0572    -50.4443
       101.3      2032          24         0.2436     24.3602      1.3867        0.37       265.4     62.7778      1.0609    -50.6667
      101.35      2033          22           0.24     24.0039      1.3803        0.36       267.9     63.1667      1.0675    -50.7778
       101.4      2078          21         0.2247     22.4735      1.3517        0.36       270.6     63.3333      1.0703    -50.7778
      101.45      2145          20         0.2112     21.1189      1.3247        0.35       272.9     63.6667       1.076    -50.8889
       101.5      2174          20         0.2061     20.6072       1.314        0.35       274.2     63.7778      1.0778    -51.1111
      101.55      2184          20         0.2051     20.5128       1.312        0.36       275.2     63.8333      1.0788    -51.1111
       101.6      2183          21         0.2084     20.8429       1.319        0.38       275.1     63.7778      1.0778    -51.2222
      101.65      2166          22         0.2184     21.8375      1.3392        0.37       275.6     63.7222      1.0769    -51.4443
       101.7      2110          25         0.2384     23.8389      1.3773        0.33       277.9     63.6667       1.076    -51.5557
      101.75      2013          28         0.2678      26.776      1.4277        0.31       279.9     63.6667       1.076    -51.5557
       101.8      1895          30         0.2992     29.9208       1.476        0.31       281.6     63.7222      1.0769    -51.6667
      101.85      1814          31         0.3164     31.6428      1.5003        0.31       283.9     63.7222      1.0769         -52
       101.9      1800          30         0.3156     31.5556      1.4991        0.32         286        63.5      1.0731    -52.3333
      101.95      1816          28         0.3034     30.3414       1.482        0.33         288     63.3889      1.0713    -52.5557
         102      1868          25         0.2805     28.0514       1.448        0.33       289.5     63.3333      1.0703         -53
      102.05      1947          23         0.2527     25.2696      1.4026        0.34         290     63.3889      1.0713    -53.3333
       102.1      2038          20         0.2267     22.6693      1.3554        0.35       289.5     63.6111       1.075    -53.5557
      102.15      2120          19         0.2066     20.6604      1.3151        0.36       289.2     63.8889      1.0797    -53.7778
       102.2      2179          18         0.1937     19.3667      1.2871        0.35         289     64.1667      1.0844         -54
      102.25      2214          18         0.1883     18.8347       1.275        0.35       289.1     64.3889      1.0882    -54.2222
       102.3      2214          18         0.1888     18.8799       1.276        0.35       289.4     64.6111      1.0919    -54.2222
      102.35      2206          19         0.1917      19.175      1.2827        0.34       290.4     64.6667      1.0929    -54.4443
       102.4      2188          20         0.1988     19.8812      1.2984        0.34       291.2     64.6111      1.0919    -54.7778
      102.45      2144          21         0.2099     20.9888       1.322        0.34       291.1     64.5556       1.091    -54.8889
       102.5      2102          22         0.2188     21.8839      1.3401        0.34       290.7     64.4444      1.0891    -54.8889
      102.55      2084          22         0.2255     22.5528      1.3532        0.34       291.1     64.2778      1.0863    -54.7778
       102.6      2058          25         0.2386     23.8581      1.3776        0.33       292.7     63.8889      1.0797    -54.7778
      102.65      1980          29         0.2667     26.6667       1.426        0.33       294.2     63.4444      1.0722    -54.7778
       102.7      1835          31         0.3063     30.6267      1.4861        0.33       294.9     63.2778      1.0694    -54.7778
      102.75      1733          31         0.3254     32.5447      1.5125        0.33       295.4     63.2778      1.0694    -54.8889
       102.8      1767          28         0.3073     30.7301      1.4876        0.33       296.2     63.4444      1.0722    -54.6667
      102.85      1863          25           0.27     26.9995      1.4314        0.32       296.5     63.6111       1.075    -54.3333
       102.9      1969          23         0.2423     24.2255      1.3843        0.32       295.8     63.7222      1.0769    -54.1111
      102.95      2023          22         0.2313      23.134      1.3642        0.32       295.4     63.9444      1.0807    -54.1111
         103      2025          22         0.2286     22.8642      1.3592         0.3       296.5     64.1667      1.0844    -54.2222
      103.05      2037          21         0.2214     22.1404      1.3452         0.3       296.8     64.6111      1.0919    -54.4443
       103.1      2074          20         0.2117     21.1668      1.3257         0.3         296     65.2222      1.1023    -54.5557
      103.15      2092          19         0.2027     20.2677      1.3068         0.3       294.9     65.7778      1.1116    -54.6667
       103.2      2151          17         0.1883     18.8285      1.2748         0.3       294.5     66.2778      1.1201    -54.8889
      103.25      2236          16         0.1708     17.0841      1.2326         0.3       295.2     66.6111      1.1257         -55
       103.3      2285          16         0.1641     16.4114      1.2151        0.29       295.9     66.8889      1.1304    -55.1111
      103.35      2285          16         0.1667      16.674       1.222        0.32       295.3          67      1.1323    -55.2222
       103.4      2252          17         0.1745     17.4512      1.2418        0.33       294.4          67      1.1323    -55.1111
      103.45      2219          18         0.1798     17.9811      1.2548        0.34       294.9     67.1667      1.1351    -55.2222
       103.5      2214          18         0.1807     18.0668      1.2569        0.39       293.6     67.3333      1.1379    -55.1111
      103.55      2206          18          0.185      18.495      1.2671        0.42       289.1        67.5      1.1407         -55
       103.6      2169          19         0.1909     19.0871      1.2807        0.42       275.9     67.4444      1.1398    -54.8889
      103.65      2170          18         0.1899     18.9862      1.2784         0.4         262     67.3333      1.1379    -54.8889
       103.7      2184          19           0.19     19.0018      1.2788        0.38       255.6     67.1111      1.1342         -55
      103.75      2169          19         0.1964     19.6404      1.2932        0.37         253     66.8889      1.1304         -55
       103.8      2132          20          0.205     20.4972      1.3117        0.38       250.3     66.7778      1.1285         -55
      103.85      2097          21         0.2127     21.2685      1.3277        0.41       247.5        66.5      1.1238    -55.1111
       103.9      2074          21          0.216     21.6008      1.3345        0.42       247.3     66.2222      1.1192    -54.8889
      103.95      2084          20         0.2107     21.0653      1.3236        0.43       246.7     66.0556      1.1163    -54.6667
         104      2124          19          0.201     20.1036      1.3033        0.41       246.7     65.9444      1.1145    -54.6667
      104.05      2168          18          0.191     19.0959      1.2809        0.39       250.3        65.5      1.1069    -54.6667
       104.1      2216          17         0.1814     18.1408      1.2587        0.41       259.1     64.8889      1.0966    -54.4443
      104.15      2261          17         0.1778     17.7797      1.2499        0.44       273.9     64.4444      1.0891    -54.2222
       104.2      2242          18         0.1851     18.5103      1.2674        0.46       278.5     64.1667      1.0844    -53.8889
      104.25      2204          19         0.1942     19.4192      1.2882        0.48       278.6          64      1.0816    -53.3333
       104.3      2180          19         0.1977     19.7706       1.296        0.47       278.2     64.0556      1.0825    -52.6667
      104.35      2201          19         0.1945     19.4457      1.2888        0.46       277.8          64      1.0816    -52.1111
       104.4      2214          19         0.1933     19.3315      1.2863        0.42       277.8     63.8889      1.0797    -51.7778
      104.45      2220          18          0.191     19.0991       1.281         0.4         277     63.9444      1.0807    -51.3333
       104.5      2246          17         0.1839     18.3882      1.2645        0.38       276.5     64.3333      1.0872         -51
      104.55      2289          16         0.1747     17.4749      1.2424        0.37         276     64.7778      1.0947    -50.5557
       104.6      2335          16          0.167     16.7024      1.2228        0.36       276.4     65.4444       1.106    -50.1111
      104.65      2368          15         0.1617      16.174      1.2088        0.34       276.8          66      1.1154    -49.8889
       104.7      2390          15         0.1598     15.9833      1.2037        0.35         277     66.3333       1.121    -49.8889
      104.75      2402          16         0.1599     15.9867      1.2038        0.35       277.2     66.4444      1.1229         -50
       104.8      2401          16         0.1633     16.3265      1.2129        0.35         278     66.4444      1.1229    -50.4443
      104.85      2385          17         0.1706      17.065      1.2321        0.34       278.8     66.2778      1.1201    -50.7778
       104.9      2353          18          0.181     18.1045      1.2578        0.34       279.8     65.7222      1.1107    -51.2222
      104.95      2313          20         0.1946     19.4553       1.289        0.34       280.2     64.6111      1.0919    -51.5557
         105      2257          22          0.214     21.4001      1.3304        0.34       280.6     63.2778      1.0694         -52
      105.05      2165          25         0.2406     24.0647      1.3814        0.38       280.8     61.6667      1.0422    -52.5557
       105.1      2059          26         0.2657     26.5663      1.4243        0.39       278.7     60.0556      1.0149    -53.1111
      105.15      2032          26         0.2692     26.9193      1.4301        0.37       272.7     58.8333      0.9943    -53.6667
       105.2      2074          26         0.2633     26.3259      1.4204        0.36       263.7     57.8889      0.9783    -54.5557
      105.25      2071          30          0.281     28.1024      1.4487        0.38       258.4     57.1111      0.9652    -55.2222
       105.3      1936          36         0.3301     33.0062      1.5186        0.39       253.9        56.5      0.9548    -55.7778
      105.35      1766          37         0.3771     37.7123      1.5765        0.41       253.4     55.6667      0.9408    -56.1111
       105.4      1744          33         0.3658     36.5826      1.5633        0.41       253.4     55.3333      0.9351    -56.4443
      105.45      1875          30         0.3189     31.8933      1.5037        0.42       253.4     55.2778      0.9342    -56.8889
       105.5      1973          31         0.3031     30.3092      1.4816        0.44       253.3     55.3333      0.9351    -57.2222
      105.55      1918          36         0.3332      33.316      1.5227        0.42       253.2     55.6111      0.9398    -57.6667
       105.6      1776          39         0.3795     37.9505      1.5792        0.39       253.8     55.7222      0.9417    -58.1111
      105.65      1718          37         0.3935     39.3481      1.5949         0.4         259     55.8889      0.9445    -58.2222
       105.7      1758          36         0.3771     37.7133      1.5765        0.44       268.9     55.9444      0.9455    -58.2222
      105.75      1802          36          0.364      36.404      1.5611        0.47       281.6     55.9444      0.9455    -58.5557
       105.8      1812          36         0.3653     36.5342      1.5627        0.44       290.7     56.2778      0.9511    -58.8889
      105.85      1790          37         0.3765     37.6536      1.5758        0.43         294     56.7222      0.9586    -59.1111
       105.9      1765          38          0.387     38.6969      1.5877        0.43       297.1     57.4444      0.9708    -59.1111
      105.95      1758          39         0.3925     39.2491      1.5938        0.43       299.6     58.3333      0.9858    -59.1111
         106      1760          40         0.3972     39.7159       1.599        0.46       300.1     59.2778      1.0018         -59
      106.05      1739          42         0.4123     41.2306      1.6152        0.46       300.3     60.7222      1.0262    -58.8889
       106.1      1684          45         0.4388     43.8836      1.6423        0.45       300.2     62.3889      1.0544    -58.8889
      106.15      1623          47          0.467     46.7036      1.6694        0.46       299.8        64.5        1.09    -58.7778
       106.2      1570          49         0.4892     48.9172      1.6895        0.45       300.2     66.7778      1.1285    -58.5557
      106.25      1542          47         0.4929     49.2866      1.6927        0.41       301.5     69.6957      1.1779    -58.2222
       106.3      1565          42         0.4665     46.6454      1.6688         0.4       298.4     72.6858      1.2284    -57.8889
      106.35      1688          34         0.3963     39.6327      1.5981        0.41       292.7     75.3778      1.2739    -57.5557
       106.4      1887          27         0.3153     31.5315      1.4987        0.43       288.4     78.4481      1.3258    -57.1111
      106.45      2042          26         0.2679     26.7875      1.4279        0.42       286.3     80.8595      1.3665    -56.6667
       106.5      2075          26         0.2622     26.2169      1.4186        0.37       291.3     83.0382      1.4033    -56.2222
      106.55      2051          24         0.2628     26.2799      1.4196        0.32       295.9     85.0343      1.4371    -55.6667
       106.6      2069          23         0.2494     24.9396      1.3969        0.32       295.9     86.3889        1.46    -55.2222
      106.65      2132          20          0.228     22.7955      1.3578        0.32       296.3     87.2222      1.4741    -54.4443
       106.7      2216          19         0.2071      20.713      1.3162         0.3       297.1     87.1667      1.4731    -54.1111
      106.75      2258          19         0.1971     19.7077      1.2946        0.28       298.7     86.5556      1.4628    -53.8889
       106.8      2267          19          0.195     19.4971        1.29        0.28       299.8     85.1667      1.4393    -53.6667
      106.85      2254          19          0.197     19.6983      1.2944        0.28         301     83.2778      1.4074    -53.6667
       106.9      2238          20         0.1993     19.9285      1.2995        0.27       301.8     81.1111      1.3708    -53.7778
      106.95      2230          21         0.2049     20.4933      1.3116        0.27       301.2     77.8659      1.3159    -53.6667
         107      2181          23         0.2201     22.0083      1.3426        0.28       296.1     75.6283      1.2781    -53.6667
      107.05      2086          24         0.2421      24.209       1.384        0.29         290     73.5314      1.2427    -53.5557
       107.1      2010          25         0.2562     25.6219      1.4086        0.29       290.2     71.5556      1.2093    -53.7778
      107.15      1995          25         0.2591     25.9148      1.4135        0.29       290.5     69.5556      1.1755    -53.7778
       107.2      1996          24          0.256     25.6012      1.4083        0.28       290.4     67.8333      1.1464    -53.7778
      107.25      2024          24         0.2475      24.753      1.3936        0.28       289.8     66.8333      1.1295    -53.8889
       107.3      2045          24         0.2455     24.5477        1.39        0.28       289.3     66.2222      1.1192    -53.8889
      107.35      2016          26          0.256     25.5952      1.4082        0.28       289.5     65.8889      1.1135    -53.7778
       107.4      1950          25         0.2662     26.6154      1.4251        0.27       289.5     66.1111      1.1173    -53.8889
      107.45      1983          23         0.2506      25.063       1.399        0.26       290.1     66.5556      1.1248    -53.7778
       107.5      2072          23         0.2326     23.2625      1.3667        0.26       290.6          67      1.1323    -53.7778
